species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Acinonyx jubatus (Schreber, 1775)",-48.45,12.666667,1984,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Acinonyx jubatus (Schreber, 1775)",-83.0833,40.1667,1996,observation,NA,NA,Bison
"Acinonyx jubatus (Schreber, 1775)",-82.34957,27.90659,1970,specimen,NA,http://www.museum.state.il.us/,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,1999,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,2004,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,1991,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66386,35.078392,1987,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66386,35.078392,1987,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66386,35.078392,NA,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66386,35.078392,1991,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-97.3556,32.7214,1985,specimen,NA,http://www.depts.ttu.edu/museumttu/,Bison
"Acinonyx jubatus (Schreber, 1775)",-83.38421,42.66045,1975,specimen,NA,http://museum.msu.edu,Bison
"Acinonyx jubatus (Schreber, 1775)",-83.38421,42.66045,1976,specimen,NA,http://museum.msu.edu,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,1999,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,1987,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,1980,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,1979,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,1985,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Acinonyx jubatus (Schreber, 1775)",-106.66348,35.07838,2004,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
Acinonyx jubatus jubatus,20.321913,-26.018916,2020,HUMAN_OBSERVATION,29891,iNaturalist,GBIF
Acinonyx jubatus jubatus,22.495282,-27.369643,2020,HUMAN_OBSERVATION,29751,iNaturalist,GBIF
Acinonyx jubatus jubatus,28.291952,-25.941293,2019,HUMAN_OBSERVATION,29913,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",37.625,0.625,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
Acinonyx jubatus jubatus,28.219268,-25.995209,2019,HUMAN_OBSERVATION,29913,iNaturalist,GBIF
Acinonyx jubatus jubatus,16.850018,-18.721346,2019,HUMAN_OBSERVATION,30632,iNaturalist,GBIF
Acinonyx jubatus jubatus,35.047011,-1.415816,2019,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Acinonyx jubatus jubatus,16.847287,-18.903568,2019,HUMAN_OBSERVATION,30615,iNaturalist,GBIF
Acinonyx jubatus jubatus,35.106798,-1.391167,2019,HUMAN_OBSERVATION,31447,iNaturalist,GBIF
Acinonyx jubatus jubatus,35.217879,-1.487728,2019,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Acinonyx jubatus jubatus,31.642403,-24.870049,2019,HUMAN_OBSERVATION,30025,iNaturalist,GBIF
Acinonyx jubatus jubatus,27.44951,-24.33406,2019,HUMAN_OBSERVATION,30090,iNaturalist,GBIF
Acinonyx jubatus jubatus,16.732298,-18.953627,2019,HUMAN_OBSERVATION,30615,iNaturalist,GBIF
Acinonyx jubatus jubatus,29.078201,-22.038968,2019,HUMAN_OBSERVATION,30318,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",34.887035,-1.38484,2019,HUMAN_OBSERVATION,31447,iNaturalist,GBIF
Acinonyx jubatus jubatus,20.595021,-25.355804,2019,HUMAN_OBSERVATION,29981,iNaturalist,GBIF
Acinonyx jubatus jubatus,20.592748,-25.532752,2019,HUMAN_OBSERVATION,29958,iNaturalist,GBIF
Acinonyx jubatus jubatus,34.81747,-2.671396,2019,HUMAN_OBSERVATION,31434,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",35.066643,-2.612736,2019,HUMAN_OBSERVATION,31434,iNaturalist,GBIF
Acinonyx jubatus jubatus,20.358051,-25.822887,2019,HUMAN_OBSERVATION,29913,iNaturalist,GBIF
Acinonyx jubatus jubatus,20.715027,-25.476467,2019,HUMAN_OBSERVATION,29958,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",38.1639,-0.1173,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Acinonyx jubatus (Schreber, 1775)",1.81865,11.399807,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",1.829338,11.398357,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",35.31464,-1.523173,2019,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",1.433045,11.214263,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Acinonyx jubatus (Schreber, 1775)",1.524268,11.299099,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
Acinonyx jubatus jubatus,23.836778,-21.524593,2019,HUMAN_OBSERVATION,30377,iNaturalist,GBIF
Acinonyx jubatus jubatus,27.041442,-25.670228,2019,HUMAN_OBSERVATION,29936,iNaturalist,GBIF
