species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Alouatta seniculus (Linnaeus, 1766)",-48.45,12.666667,1981,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Alouatta seniculus (Linnaeus, 1766)",-76.463641,-0.475837,2020,HUMAN_OBSERVATION,95,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.411659,-0.498132,2020,HUMAN_OBSERVATION,2169,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.2738,-0.468884,2020,HUMAN_OBSERVATION,532,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-75.579107,4.726861,2020,HUMAN_OBSERVATION,93,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.287392,-0.438807,2020,HUMAN_OBSERVATION,800,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.285927,-0.438353,2020,HUMAN_OBSERVATION,549,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.427384,-0.525374,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.434687,-0.527111,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.116512,2.219301,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-75.575155,4.727887,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-73.93933,11.293688,2019,HUMAN_OBSERVATION,3486,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-71.299,6.019759,2019,HUMAN_OBSERVATION,529,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-75.574061,4.727311,2019,HUMAN_OBSERVATION,31,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-73.383978,3.938534,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.735322,7.967336,2019,HUMAN_OBSERVATION,11691,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-75.569125,4.723147,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.148955,-0.637698,2019,HUMAN_OBSERVATION,309,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-76.148955,-0.637698,2019,HUMAN_OBSERVATION,309,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-78.34333,-1.501408,2019,HUMAN_OBSERVATION,212,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-74.070695,11.10152,2019,HUMAN_OBSERVATION,122,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-74.656487,5.913502,2019,HUMAN_OBSERVATION,8415,iNaturalist,GBIF
"Alouatta seniculus (Linnaeus, 1766)",-77.519767,-1.092167,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
