species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Arctocephalus australis (Zimmermann, 1783)",-71.536302,-29.582318,2020,HUMAN_OBSERVATION,122,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-71.527574,-32.235009,2020,HUMAN_OBSERVATION,156,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-71.587898,-29.02714,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-50.135089,-30.013912,2019,HUMAN_OBSERVATION,263,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-68.106103,-54.869856,2019,HUMAN_OBSERVATION,97,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-71.576944,-29.020217,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-57.542431,-37.987806,2019,HUMAN_OBSERVATION,38,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-50.237138,-30.266832,2019,HUMAN_OBSERVATION,263,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-68.135777,-54.865058,2019,HUMAN_OBSERVATION,3906,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-54.622791,-34.829421,2019,HUMAN_OBSERVATION,732,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-50.038977,-29.810943,2019,HUMAN_OBSERVATION,526,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-65.736251,-47.201368,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-65.74351,-47.202286,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-65.743223,-47.202344,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-65.742044,-47.202454,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-58.009643,-38.358841,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-68.259101,-54.865599,2018,HUMAN_OBSERVATION,6410,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-71.538763,-29.257948,2018,HUMAN_OBSERVATION,199,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-48.511963,-26.761465,2018,HUMAN_OBSERVATION,7813,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-53.777202,-34.404847,2018,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-68.196192,-54.868639,2018,HUMAN_OBSERVATION,2120,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-59.328599,-38.733916,2018,HUMAN_OBSERVATION,122,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-53.777557,-34.40581,2017,HUMAN_OBSERVATION,82,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-57.147746,-35.392269,2017,HUMAN_OBSERVATION,186,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-70.844444,-27.014111,2016,HUMAN_OBSERVATION,NA,MMA_CL,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-70.986667,-53.383889,2016,HUMAN_OBSERVATION,NA,MMA_CL,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-72.16496,-53.800724,2016,HUMAN_OBSERVATION,977,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-69.406506,-52.251661,2016,HUMAN_OBSERVATION,NA,MMA_CL,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-71.567993,-29.023577,2016,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-71.589556,-29.037751,2016,HUMAN_OBSERVATION,3906,iNaturalist,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-72.573339,-35.807225,2015,HUMAN_OBSERVATION,NA,MMA_CL,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-59.97158,-54.41085,2015,HUMAN_OBSERVATION,NA,CADIC,GBIF
"Arctocephalus australis (Zimmermann, 1783)",-70.871208,-53.085853,2015,HUMAN_OBSERVATION,NA,MMA_CL,GBIF
