species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Beatragus hunteri (P.L.Sclater, 1889)",40.1386,-1.9349,2018,HUMAN_OBSERVATION,NA,NMK,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",40.5292,-2.5266,2018,HUMAN_OBSERVATION,NA,NMK,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",38.900607,-3.4684720000000002,2007,HUMAN_OBSERVATION,31422,iNaturalist,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",40.0334,-1.3993,2006,HUMAN_OBSERVATION,NA,NMK,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.068596,-0.423507,2000,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,2000,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.044461,-0.396866,2000,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.068596,-0.423507,2000,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,2000,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.044461,-0.396866,1999,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,1999,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.044461,-0.396866,1999,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.08457,-0.431207,1999,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,1999,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.044461,-0.396866,1998,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,1998,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,1997,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,1996,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,1996,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,1996,HUMAN_OBSERVATION,NA,KWS,GBIF
"Damaliscus hunteri (P.L.Sclater, 1889)",39.416667,-1.533333,1935,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Damaliscus hunteri (P.L.Sclater, 1889)",39.416667,-1.533333,1700,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Damaliscus hunteri (P.L.Sclater, 1889)",39.416667,-1.533333,1700,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.233002,4.3,NA,FOSSIL_SPECIMEN,NA,PBDB,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.044461,-0.396866,NA,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.044461,-0.396866,NA,HUMAN_OBSERVATION,NA,KWS,GBIF
"Beatragus hunteri (P.L.Sclater, 1889)",36.053223,-0.372414,NA,HUMAN_OBSERVATION,NA,KWS,GBIF
