species,lon,lat,year,record,coordinate_uncertainty,institution,database
Spermophilus lateralis,-112.84527,37.63545,NA,observation,NA,https://bison.usgs.gov,Bison
Spermophilus lateralis,-109.340385,36.09426,NA,observation,NA,https://bison.usgs.gov,Bison
"Callospermophilus lateralis (Say, 1823)",-115.68082,36.307602,2018,observation,NA,http://www.inaturalist.org,Bison
"Callospermophilus lateralis (Say, 1823)",-115.83802,51.254173,2018,observation,NA,http://www.inaturalist.org,Bison
"Callospermophilus lateralis (Say, 1823)",-105.626945,40.2053,2018,observation,NA,http://www.inaturalist.org,Bison
Spermophilus lateralis,-108.59056,40.46058,NA,observation,NA,https://bison.usgs.gov,Bison
"Callospermophilus lateralis (Say, 1823)",-121.50106,40.458153,2017,observation,NA,http://www.inaturalist.org,Bison
"Callospermophilus lateralis (Say, 1823)",-113.93028,46.766876,2017,observation,NA,http://www.inaturalist.org,Bison
"Callospermophilus lateralis (Say, 1823)",-121.75515,44.40577,2017,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus lateralis (Say, 1823)",-118.87517,37.915836,1965,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-118.87517,37.915836,1964,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-121.22558,43.91512,1938,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-121.22558,43.91512,1938,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-117.69193,44.703426,1928,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-118.87517,37.915836,1941,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-118.87517,37.915836,1941,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-118.87517,37.915836,1941,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus lateralis (Say, 1823)",-115.01382,36.214237,1929,specimen,NA,http://www.sdnhm.org,Bison
