species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Capra ibex Linnaeus, 1758",-108.36516,31.47252,1997,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-106.66386,35.078392,1975,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-106.66348,35.07838,NA,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-106.66386,35.078392,1978,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-106.66386,35.078392,1978,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-106.66348,35.07838,1983,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-106.66348,35.07838,NA,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-106.66386,35.078392,1995,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Capra ibex Linnaeus, 1758",-71.02017,42.33196,1993,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Capra ibex Linnaeus, 1758",-71.02017,42.33196,1993,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Capra ibex Linnaeus, 1758",-71.02017,42.33196,1993,specimen,NA,http://www.mcz.harvard.edu/,Bison
