species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Cebus capucinus (Linnaeus, 1758)",-119.69722,34.420834,1976,specimen,NA,http://www.sbnature.org/,Bison
"Cebus capucinus (Linnaeus, 1758)",-118.26186,34.1964,NA,specimen,NA,http://www.sci.wsu.edu/cm/,Bison
"Cebus capucinus (Linnaeus, 1758)",-122.417175,45.54769,1948,specimen,NA,http://www.sci.wsu.edu/cm/,Bison
"Cebus capucinus (Linnaeus, 1758)",-84.167672,9.400405,2020,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-85.550058,10.789077,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.167605,9.400367,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus imitator Thomas, 1903",-82.820451,9.734915,2020,HUMAN_OBSERVATION,1582,iNaturalist,GBIF
"Cebus capucinus imitator Thomas, 1903",-86.9059,15.696,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.337228,8.395972,2020,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.278908,8.475614,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.336565,8.404006,2020,HUMAN_OBSERVATION,215,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-85.687697,10.96898,2020,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.678068,9.657594,2020,HUMAN_OBSERVATION,4208,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.146233,9.389618,2020,HUMAN_OBSERVATION,1153,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.146392,9.379508,2020,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Cebus capucinus imitator Thomas, 1903",-83.135353,8.660583,2020,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.144408,9.389213,2020,HUMAN_OBSERVATION,9,iNaturalist,GBIF
"Cebus capucinus imitator Thomas, 1903",-84.925549,9.786301,2020,HUMAN_OBSERVATION,417,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.603923,9.777245,2020,HUMAN_OBSERVATION,308,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.146278,9.379495,2020,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-87.597448,15.823861,2020,HUMAN_OBSERVATION,62,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.306983,8.38688,2020,HUMAN_OBSERVATION,30,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.611293,9.808313,2020,HUMAN_OBSERVATION,225,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.606198,9.781051,2020,HUMAN_OBSERVATION,209,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.698124000000007,9.471054,2020,HUMAN_OBSERVATION,24,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.873628,10.428879,2019,HUMAN_OBSERVATION,526,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-85.37275,10.776913,2019,HUMAN_OBSERVATION,16,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.202883,9.454213,2019,HUMAN_OBSERVATION,263,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-85.58638,10.398495,2019,HUMAN_OBSERVATION,31199,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.145903,9.381758,2019,HUMAN_OBSERVATION,11,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-82.816158,9.701026,2019,HUMAN_OBSERVATION,5130,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.137103,9.393446,2019,HUMAN_OBSERVATION,605,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.145767,9.38133,2019,HUMAN_OBSERVATION,32,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-79.779696,9.12206,2019,HUMAN_OBSERVATION,1000,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.317231,10.204023,2019,HUMAN_OBSERVATION,947,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-79.226784,9.311838,2019,HUMAN_OBSERVATION,31245,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.169282,9.397503,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.144183,9.389222,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-85.748897,10.529333,2019,HUMAN_OBSERVATION,358,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-79.77861,9.118611,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.817685,10.305789,2019,HUMAN_OBSERVATION,1052,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.333955,8.406152,2019,HUMAN_OBSERVATION,709,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.136988,9.392308,2019,HUMAN_OBSERVATION,229,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-85.410149,10.361613,2019,HUMAN_OBSERVATION,57,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.596068,9.777481,2019,HUMAN_OBSERVATION,977,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-79.997572,9.32082,2019,HUMAN_OBSERVATION,22,iNaturalist,GBIF
"Cebus capucinus imitator Thomas, 1903",-84.823222,10.311962,2019,HUMAN_OBSERVATION,73,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.154957,9.394732,2019,HUMAN_OBSERVATION,183,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.145642,9.381278,2019,HUMAN_OBSERVATION,76,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.139706,9.380116,2019,HUMAN_OBSERVATION,64,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.600876,9.794117,2019,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.146347,9.379342,2019,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.499367,8.448688,2019,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.146858,9.380275,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.715538,8.671897,2019,HUMAN_OBSERVATION,13,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-83.30427,8.541121,2019,HUMAN_OBSERVATION,12,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.163143,9.397839,2019,HUMAN_OBSERVATION,83,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-79.724987,9.14185,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-84.143233,9.385875,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Cebus capucinus (Linnaeus, 1758)",-79.65802,9.083251,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
