species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Cercopithecus mitis kolbi Neumann, 1902",36.816178,-1.232188,2020,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Cercopithecus mitis kolbi Neumann, 1902",36.760101,-1.263078,2020,HUMAN_OBSERVATION,4656,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.37,-4.6579,2020,HUMAN_OBSERVATION,800,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.37,-4.6579,2020,HUMAN_OBSERVATION,800,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.916479,-3.296504,2020,HUMAN_OBSERVATION,12,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.37,-4.6579,2020,HUMAN_OBSERVATION,800,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.82813,-1.2436720000000001,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.37,-4.6579,2019,HUMAN_OBSERVATION,200,iNaturalist,GBIF
"Cercopithecus mitis kolbi Neumann, 1902",36.814938,-1.233103,2019,HUMAN_OBSERVATION,12,iNaturalist,GBIF
"Cercopithecus mitis erythrarchus Peters, 1852",32.545941,-28.14449,2019,HUMAN_OBSERVATION,1674,iNaturalist,GBIF
"Cercopithecus mitis labiatus I.Geoffroy Saint-Hilaire, 1842",26.975432,-32.647424,2019,HUMAN_OBSERVATION,29066,iNaturalist,GBIF
"Cercopithecus mitis erythrarchus Peters, 1852",32.044463,-28.084182,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",34.875,0.375,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.582802,-4.299076,2019,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",29.387827,-9.542715,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.8147,-1.233133,2019,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Cercopithecus mitis labiatus I.Geoffroy Saint-Hilaire, 1842",28.979575,-32.370962,2019,HUMAN_OBSERVATION,29120,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",35.806178,-3.619059,2019,HUMAN_OBSERVATION,24597,iNaturalist,GBIF
"Cercopithecus mitis erythrarchus Peters, 1852",32.68457,-18.9552,2019,HUMAN_OBSERVATION,43,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",38.1639,-0.1173,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Cercopithecus albogularis (Sykes, 1831)",39.875,-3.375,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Cercopithecus albogularis (Sykes, 1831)",36.875,-1.375,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Cercopithecus mitis kolbi Neumann, 1902",36.783387,-1.220528,2019,HUMAN_OBSERVATION,65,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.817338,-1.242403,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus mitis kandti Matschie, 1905",29.747697,-1.192313,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.582788,-4.299522,2019,HUMAN_OBSERVATION,263,iNaturalist,GBIF
"Cercopithecus mitis kolbi Neumann, 1902",36.598778,-0.946741,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Cercopithecus mitis mitis,13.167392,-9.32635,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Cercopithecus mitis mitis,13.36834,-9.173953,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus mitis francescae Thomas, 1902",34.009588,-13.366375,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.906573,-3.295036,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.82691,-3.244268,2019,HUMAN_OBSERVATION,31,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",35.839684,-3.371302,2019,HUMAN_OBSERVATION,122,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",37.9825,-0.3096,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Cercopithecus mitis Wolf, 1822",38.5858,-0.1723,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Cercopithecus mitis Wolf, 1822",37.9393,0.2624,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Cercopithecus mitis Wolf, 1822",37.7027,-0.5721,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Cercopithecus mitis Wolf, 1822",28.576705,1.400864,2019,HUMAN_OBSERVATION,4332,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",28.570115,1.401109,2019,HUMAN_OBSERVATION,3727,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",30.007469,-23.86423,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
Cercopithecus mitis mitis,13.165558,-9.325268,2019,HUMAN_OBSERVATION,264,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",29.747882,-1.009267,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus albogularis (Sykes, 1831)",32.557579,-28.125257,2019,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Cercopithecus mitis kolbi Neumann, 1902",36.843628,-1.239523,2019,HUMAN_OBSERVATION,7,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.419385,-6.271327,2019,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",36.903574,-3.294617,2019,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Cercopithecus mitis labiatus I.Geoffroy Saint-Hilaire, 1842",32.704864,-27.557246,2019,HUMAN_OBSERVATION,29727,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.926752,-3.302098,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.42908,-6.269104,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",36.853462,-1.205888,2019,HUMAN_OBSERVATION,6,iNaturalist,GBIF
"Cercopithecus mitis kolbi Neumann, 1902",37.035472,-0.103582,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Cercopithecus mitis erythrarchus Peters, 1852",31.650294,-28.853292,2019,HUMAN_OBSERVATION,60,iNaturalist,GBIF
"Cercopithecus mitis Wolf, 1822",35.520005,-16.018094,2019,HUMAN_OBSERVATION,812,iNaturalist,GBIF
"Cercopithecus mitis albogularis (Sykes, 1831)",39.409847,-6.261978,2019,HUMAN_OBSERVATION,2931,iNaturalist,GBIF
