species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Chlorocebus aethiops (Linnaeus, 1758)",-119.594444,34.43861,1928,specimen,NA,http://www.sbnature.org/,Bison
"Chlorocebus aethiops (Linnaeus, 1758)",40.012078,8.842273,2019,HUMAN_OBSERVATION,13,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",40.012369,8.842453,2019,HUMAN_OBSERVATION,36,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",33.584637,4.777452,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.906939,9.839212,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",32.410648,-28.377861,2019,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",40.010772,8.843649,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",37.981843,8.533194,2019,HUMAN_OBSERVATION,11,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.151014,10.852758,2019,HUMAN_OBSERVATION,2705396,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",37.349449,11.700574,2018,HUMAN_OBSERVATION,754,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",37.396372,11.605822999999999,2018,HUMAN_OBSERVATION,593,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.463084,7.040156,2018,HUMAN_OBSERVATION,2758,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.443543,6.749603,2018,HUMAN_OBSERVATION,100,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",33.784119,-13.966123,2018,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",34.050888,-12.911019,2018,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",34.050446,-12.910685,2018,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",35.290573,-14.844231,2018,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.637461,7.082261,2018,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.624196,7.10231,2018,HUMAN_OBSERVATION,588,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.421885,7.031297,2018,HUMAN_OBSERVATION,12620,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.618896,7.084168,2018,HUMAN_OBSERVATION,1043,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",37.593498,5.939119,2017,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",37.733917,10.316271,2017,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",37.592249,11.486835,2017,HUMAN_OBSERVATION,452,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",40.010214,8.844629,2017,HUMAN_OBSERVATION,483,iNaturalist,GBIF
"Cercopithecus aethiops (Linnaeus, 1758)",-1.7592,30.7979,2017,HUMAN_OBSERVATION,NA,NA,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.59907,11.3987,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.56596,11.46391,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.53001,11.44873,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.59374,11.39594,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.52059,11.45211,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.58546,11.41084,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.57141,11.44388,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.50394,11.4519,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",32.50936,15.601796,2016,HUMAN_OBSERVATION,255,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",38.469788,7.05741,2016,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.50562,11.20374,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.57336,11.43789,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.51264,11.45286,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.58797,11.42477,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.57402,11.43183,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",39.04763,12.030899,2016,HUMAN_OBSERVATION,1760,iNaturalist,GBIF
"Chlorocebus aethiops (Linnaeus, 1758)",1.50486,11.20187,2016,HUMAN_OBSERVATION,NA,DGEFC,GBIF
