species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Clethrionomys rufocanus (Sundevall, 1846)",7.641506,50.301292,2014,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",25.883729,69.523262,2011,HUMAN_OBSERVATION,2,NA,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",27.213322,69.182379,2011,HUMAN_OBSERVATION,2,NA,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",12.65728,61.636829,2010,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",29.71147,67.699322,2008,HUMAN_OBSERVATION,14143,NA,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",28.761003,67.622673,2008,HUMAN_OBSERVATION,14143,NA,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.850861,69.046056,2008,HUMAN_OBSERVATION,14143,NA,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",24.859752,66.107433,2007,HUMAN_OBSERVATION,2,NA,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",100.155278,50.508889,2001,PRESERVED_SPECIMEN,1037.34,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",101.963056,46.786944,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",107.383333,47.883333,1999,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",143,63.466667,1999,PRESERVED_SPECIMEN,NA,UAM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",142.45,64.266667,1999,PRESERVED_SPECIMEN,NA,UAM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",104.416667,49.333333,1997,PRESERVED_SPECIMEN,NA,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",145.85001,44.03333,1995,PRESERVED_SPECIMEN,12284,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",137.117,49.75,1993,PRESERVED_SPECIMEN,23209,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",137.45,50.93333,1993,PRESERVED_SPECIMEN,6693,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",137.117,49.75,1993,PRESERVED_SPECIMEN,23209,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",141.88333,46.36667,1993,PRESERVED_SPECIMEN,10753,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",151.5,59.5,1992,PRESERVED_SPECIMEN,68083,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",10.17605,61.80385,1985,PRESERVED_SPECIMEN,4883,MVZ,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",10.17605,61.80385,1985,PRESERVED_SPECIMEN,4883,MVZ,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",10.17605,61.80385,1985,PRESERVED_SPECIMEN,4883,MVZ,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",10.17605,61.80385,1985,PRESERVED_SPECIMEN,4883,MVZ,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",10.17605,61.80385,1985,PRESERVED_SPECIMEN,4883,MVZ,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",10.17605,61.80385,1985,PRESERVED_SPECIMEN,4883,MVZ,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",10.17605,61.80385,1985,PRESERVED_SPECIMEN,4883,MVZ,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",29.133333,66.166667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",29.133333,66.166667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",29.133333,66.166667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",29.133333,66.166667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",29.133333,66.166667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",20.866667,69.066667,1982,PRESERVED_SPECIMEN,NA,UWBM,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",142.02389,44.99488,1981,PRESERVED_SPECIMEN,8555,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",142.02389,44.99488,1981,PRESERVED_SPECIMEN,8555,MSB,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",27.03029,68.90505,1977,PRESERVED_SPECIMEN,NA,MHNG,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",27.03029,68.90505,1976,PRESERVED_SPECIMEN,NA,MHNG,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.83139,68.34944,1975,PRESERVED_SPECIMEN,NA,MZLU,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.9225,59.74139,1972,PRESERVED_SPECIMEN,NA,MZLU,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.68556,68.40528,1970,PRESERVED_SPECIMEN,NA,MZLU,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.68556,68.40528,1970,PRESERVED_SPECIMEN,NA,MZLU,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.68556,68.40528,1970,PRESERVED_SPECIMEN,NA,MZLU,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.68556,68.40528,1970,PRESERVED_SPECIMEN,NA,MZLU,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.68556,68.40528,1969,PRESERVED_SPECIMEN,NA,MZLU,GBIF
"Clethrionomys rufocanus (Sundevall, 1846)",18.68556,68.40528,1969,PRESERVED_SPECIMEN,NA,MZLU,GBIF
