species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Connochaetes taurinus (Burchell, 1823)",-6.0814,34.4356,NA,fossil,NA,http://paleobiodb.org/,Bison
"Connochaetes taurinus (Burchell, 1823)",-8.874444,31.869167,NA,fossil,NA,http://paleobiodb.org/,Bison
"Connochaetes taurinus (Burchell, 1823)",-106.44204,31.769974,NA,specimen,NA,http://www.utep.edu,Bison
"Connochaetes taurinus (Burchell, 1823)",-83.38421,42.66045,1978,specimen,NA,http://museum.msu.edu,Bison
Connochaetes taurinus taurinus,32.385,-28.2689,2020,HUMAN_OBSERVATION,500,iNaturalist,GBIF
Connochaetes taurinus taurinus,20.706274,-25.775698,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Connochaetes taurinus taurinus,30.27314,-29.472362,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Connochaetes taurinus (Burchell, 1823)",17.328889,-22.788333,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Connochaetes taurinus taurinus,25.863292,-33.537953,2020,HUMAN_OBSERVATION,6,iNaturalist,GBIF
Connochaetes taurinus taurinus,31.497463,-24.434721,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Connochaetes taurinus taurinus,32.4323,-28.3153,2019,HUMAN_OBSERVATION,100,iNaturalist,GBIF
Connochaetes taurinus taurinus,32.4623,-28.2856,2019,HUMAN_OBSERVATION,100,iNaturalist,GBIF
Connochaetes taurinus taurinus,31.299803,-27.535024,2019,HUMAN_OBSERVATION,200,iNaturalist,GBIF
"Connochaetes taurinus (Burchell, 1823)",36.39828,-0.76403,2019,HUMAN_OBSERVATION,8,iNaturalist,GBIF
Connochaetes taurinus taurinus,16.993129,-18.732938,2019,HUMAN_OBSERVATION,13495,iNaturalist,GBIF
"Connochaetes taurinus (Burchell, 1823)",35.083642,-1.421957,2019,HUMAN_OBSERVATION,212,iNaturalist,GBIF
Connochaetes taurinus taurinus,16.855986,-18.80601,2019,HUMAN_OBSERVATION,10491,iNaturalist,GBIF
Connochaetes taurinus taurinus,16.855986,-18.80601,2019,HUMAN_OBSERVATION,10491,iNaturalist,GBIF
Connochaetes taurinus taurinus,16.227466,-19.177304,2019,HUMAN_OBSERVATION,34790,iNaturalist,GBIF
Connochaetes taurinus taurinus,31.547807,-24.413336,2019,HUMAN_OBSERVATION,11904,iNaturalist,GBIF
Connochaetes taurinus taurinus,32.3673,-28.3338,2019,HUMAN_OBSERVATION,100,iNaturalist,GBIF
