species,lon,lat,year,record,coordinate_uncertainty,institution,database
Dasypus novemcinctus,-91.19602,37.147163,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-90.13475,29.809889,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-94.355225,36.987133,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-94.03248,36.455704,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-93.40985,37.09999,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-99.21735,38.18442,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-96.83392,40.288,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-85.81869,34.971043,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-80.75412,28.786247,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-81.5003,30.384521,NA,observation,NA,https://bison.usgs.gov,Bison
"Dasypus novemcinctus Linnaeus, 1758",-98.59256,38.05643,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-98.748116,26.621517,1996,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.567825,32.12359,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-86.557205,34.576527,2013,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-94.7284,31.37515,2016,observation,NA,http://www.inaturalist.org,Bison
Dasypus novemcinctus,-101.6971,35.595856,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-99.70454,35.620792,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-98.62197,30.251247,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-91.3472,34.020782,NA,observation,NA,https://bison.usgs.gov,Bison
Dasypus novemcinctus,-90.51215,32.255672,NA,observation,NA,https://bison.usgs.gov,Bison
"Dasypus novemcinctus Linnaeus, 1758",-100.883286,31.416441,1995,specimen,NA,http://www.angelo.edu/dept/biology/asnhc/,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.114,32.905773,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-95.67753,33.79419,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-81.515686,27.470879,2009,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-81.41075,28.245937,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.21512,30.50901,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-99.7975,30.445623,2015,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-81.41649,27.52197,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.70315,30.248129,2013,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-96.95968,33.063656,2018,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-82.5906,28.607262,2018,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-99.77633,30.472088,2014,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-99.78103,30.47293,2014,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-99.78356,30.47375,2014,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-98.77753,29.830397,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-96.975136,33.064533,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-80.79213,28.517738,2016,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.87153,30.197657,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.12041,32.79041,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-98.249855,30.38276,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.47391,32.833534,2016,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-81.89353,29.507292,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-88.71461,30.382948,2011,observation,NA,http://www.inaturalist.org,Bison
Dasypus novemcinctus,-88.53844,30.220842,NA,observation,NA,https://bison.usgs.gov,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.53969,32.914143,2017,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.39961,29.161486,2018,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-94.14876,32.6496,2015,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-96.97895,33.065464,2015,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.74029,29.723814,2014,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-96.96221,33.069565,2014,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-91.02704,38.01065,2018,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-100.54624,31.537748,2018,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.34738,26.229523,2016,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-96.965706,33.063206,2015,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-98.44055,31.027855,2015,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-97.91353,30.269735,2015,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-96.36291,30.630554,2018,observation,NA,http://www.inaturalist.org,Bison
"Dasypus novemcinctus Linnaeus, 1758",-96.37075,30.633093,2018,observation,NA,http://www.inaturalist.org,Bison
