species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Didelphis aurita (Wied-Neuwied, 1826)",-43.371769,-23.001216,2020,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-43.576321,-22.88134,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-46.525089,-23.489985,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-46.732899,-22.940558,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-46.732903,-22.940557,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-47.067225,-23.443094,2019,HUMAN_OBSERVATION,488,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-42.881302,-20.788884,2019,HUMAN_OBSERVATION,126,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-48.497267,-27.685075,2019,HUMAN_OBSERVATION,56,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.600397,-19.936035,2019,HUMAN_OBSERVATION,44,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.599853,-19.936475,2019,HUMAN_OBSERVATION,86,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-43.179451,-22.790243,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-44.856498,-23.152728,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-45.700964,-23.766997,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-45.700787,-23.767159,2019,HUMAN_OBSERVATION,2,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-45.700911,-23.767026,2019,HUMAN_OBSERVATION,2,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-42.110554,-22.823334,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-48.412094,-24.280824,2018,HUMAN_OBSERVATION,1052,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-44.589038,-22.318426,2018,HUMAN_OBSERVATION,977,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-44.763063,-23.216023,2018,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.287103,-20.329182,2018,HUMAN_OBSERVATION,205,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-47.07127,-24.437593,2018,HUMAN_OBSERVATION,1975,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-46.657634,-23.587416,2018,HUMAN_OBSERVATION,1922,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-46.730213,-23.564403,2018,HUMAN_OBSERVATION,65,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-46.728548,-22.941938,2018,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-45.640709,-22.689391,2018,HUMAN_OBSERVATION,22308,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-46.628616,-23.574431,2017,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.071111,-19.862778,2016,PRESERVED_SPECIMEN,NA,MBML,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-43.237807,-22.966266,2016,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.599444,-19.935278,2016,PRESERVED_SPECIMEN,NA,MBML,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.596944,-19.934444,2016,PRESERVED_SPECIMEN,NA,MBML,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.596944,-19.934444,2016,PRESERVED_SPECIMEN,NA,MBML,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.599167,-19.935556,2016,PRESERVED_SPECIMEN,NA,MBML,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.596944,-19.934444,2016,PRESERVED_SPECIMEN,NA,MBML,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.596944,-19.934444,2016,PRESERVED_SPECIMEN,NA,MBML,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-43.373014,-22.91533,2015,HUMAN_OBSERVATION,58,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-49.080425,-26.906639,2015,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-42.914592,-22.485405,2015,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Didelphis aurita (Wied-Neuwied, 1826)",-40.070833,-19.859167,2015,PRESERVED_SPECIMEN,NA,MBML,GBIF
