species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Dipodomys spectabilis Merriam, 1890",-109.49017,35.385082,1991,observation,NA,http://www.natureserve.org,Bison
"Dipodomys spectabilis Merriam, 1890",-113.41348,32.073154,2017,observation,NA,http://www.inaturalist.org,Bison
"Dipodomys spectabilis Merriam, 1890",-102.96255,31.172571,2017,observation,NA,http://www.inaturalist.org,Bison
Dipodomys spectabilis,-106.749985,35.13696,NA,observation,NA,https://bison.usgs.gov,Bison
"Dipodomys spectabilis Merriam, 1890",-111.78139,31.540209,1969,specimen,NA,http://www.eebweb.arizona.edu/Collections/AboutUs.htm,Bison
Dipodomys spectabilis,-107.95876,36.05278,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-107.89028,34.914925,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-106.31617,32.7751,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-106.09276,34.25992,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-104.88434,31.924046,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-104.60627,32.123074,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-112.846634,32.044743,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-111.53325,32.99717,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-110.257065,31.349459,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-109.4562,32.151585,NA,observation,NA,https://bison.usgs.gov,Bison
Dipodomys spectabilis,-109.345406,32.010994,NA,observation,NA,https://bison.usgs.gov,Bison
"Dipodomys spectabilis Merriam, 1890",-109.49017,35.385082,NA,unknown,NA,http://www.natureserve.org,Bison
"Dipodomys spectabilis Merriam, 1890",-111.32528,32.09028,1966,specimen,NA,http://www.sbnature.org/,Bison
"Dipodomys spectabilis Merriam, 1890",-106.80541,33.55268,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-106.80541,33.55268,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-106.80541,33.55268,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-106.80507,33.544575,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-106.80541,33.55268,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-106.80507,33.544575,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-106.77866,33.581768,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-107.217125,33.749947,1985,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-107.217125,33.749947,1985,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-107.217125,33.749947,1985,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-103.48273,34.021458,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Dipodomys spectabilis Merriam, 1890",-102.975006,32.404957,1993,specimen,NA,http://www.angelo.edu/dept/biology/asnhc/,Bison
