species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Eidolon helvum (Kerr, 1792)",-0.147985,5.577343,2020,HUMAN_OBSERVATION,31379,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",3.284897,7.101004,2019,HUMAN_OBSERVATION,31331,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",29.718035,-1.210703,2019,HUMAN_OBSERVATION,31447,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",6.549949,0.039978,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-0.075228,5.515949,2019,HUMAN_OBSERVATION,31379,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-4.010992,5.261898,2019,HUMAN_OBSERVATION,31384,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-0.069681,5.445295,2019,HUMAN_OBSERVATION,31379,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",40.602172,-15.017018,2019,HUMAN_OBSERVATION,30913,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",2.746106,9.25368,2019,HUMAN_OBSERVATION,31245,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",39.349736,-6.923817,2019,HUMAN_OBSERVATION,31337,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",39.241048,-6.804511,2019,HUMAN_OBSERVATION,31337,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-10.977049,6.269135,2019,HUMAN_OBSERVATION,31356,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.186925,-1.862504,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-13.608116,9.434093,2019,HUMAN_OBSERVATION,31236,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.118153,-1.97289,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",14.876629,-22.77045,2019,HUMAN_OBSERVATION,30258,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",1.368314,10.271345,2019,HUMAN_OBSERVATION,31199,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",14.83245,-20.9203,2019,HUMAN_OBSERVATION,30434,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.083375,-1.889014,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",35.9857,-18.542771,2019,HUMAN_OBSERVATION,30649,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.126384,-1.905514,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-7.942912,12.673607,2019,HUMAN_OBSERVATION,31069,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-0.158931,5.794721,2019,HUMAN_OBSERVATION,31373,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.118415,-1.896979,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-16.492067,14.519707,2019,HUMAN_OBSERVATION,30954,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",29.354665,-15.665056,2019,HUMAN_OBSERVATION,30870,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.106131,-1.978991,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.079327,-12.502733,2019,HUMAN_OBSERVATION,31081,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-12.817657,10.054962,2019,HUMAN_OBSERVATION,31208,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.058217,-1.86832,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.188097,-1.816896,2018,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",1.125915,9.512389,2018,HUMAN_OBSERVATION,31236,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",1.124592,9.413843,2018,HUMAN_OBSERVATION,31236,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",1.014784,9.487617,2018,HUMAN_OBSERVATION,31236,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-13.240593,8.598344,2018,HUMAN_OBSERVATION,31279,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-13.370577,8.418383,2018,HUMAN_OBSERVATION,31279,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",1.091834,9.500784,2018,HUMAN_OBSERVATION,31236,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.115043,-1.848264,2018,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",30.194059,-1.88045,2018,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",-13.74463,9.489016,2018,HUMAN_OBSERVATION,31236,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",8.841606,9.838041,2018,HUMAN_OBSERVATION,31218,iNaturalist,GBIF
"Eidolon helvum (Kerr, 1792)",2.433334,6.763347,2018,HUMAN_OBSERVATION,31344,iNaturalist,GBIF
