species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Elephas maximus Linnaeus, 1758",-122.50232,37.73284,1968,specimen,NA,http://www.calacademy.org,Bison
"Elephas maximus Linnaeus, 1758",-83.0833,40.1667,1989,observation,NA,NA,Bison
"Elephas maximus Linnaeus, 1758",-83.0833,40.1667,1995,observation,NA,NA,Bison
"Elephas maximus Linnaeus, 1758",-83.0833,40.1667,1996,observation,NA,NA,Bison
"Elephas maximus Linnaeus, 1758",-122.50232,37.73284,1995,specimen,NA,http://www.calacademy.org,Bison
"Elephas maximus Linnaeus, 1758",-122.13681,37.75378,1968,specimen,NA,http://www.calacademy.org,Bison
"Elephas maximus Linnaeus, 1758",-87.83617,41.833366,1975,specimen,NA,http://www.naturemuseum.org,Bison
"Elephas maximus Linnaeus, 1758",-122.71604,45.509487,1984,observation,NA,http://www.birds.cornell.edu,Bison
"Elephas maximus Linnaeus, 1758",-84.37381,42.603535,1964,specimen,NA,http://museum.msu.edu,Bison
"Elephas maximus Linnaeus, 1758",-114.83789,32.816372,1957,specimen,NA,http://www.nhm.org/,Bison
"Elephas maximus indicus Cuvier, 1798",98.6,18.8,2020,HUMAN_OBSERVATION,NA,NA,GBIF
"Elephas maximus indicus Cuvier, 1798",76.203791,12.069813,2019,HUMAN_OBSERVATION,31104,iNaturalist,GBIF
"Elephas maximus Linnaeus, 1758",98.772659,8.820366,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
Elephas maximus maximus,80.807977,7.981362,2019,HUMAN_OBSERVATION,31302,iNaturalist,GBIF
Elephas maximus maximus,81.577164,6.485888,2019,HUMAN_OBSERVATION,31350,iNaturalist,GBIF
"Elephas maximus Linnaeus, 1758",93.294525,26.608788,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Elephas maximus Linnaeus, 1758",100.063115,9.669128,2019,HUMAN_OBSERVATION,31227,iNaturalist,GBIF
"Elephas maximus Linnaeus, 1758",93.294525,26.608788,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
