species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Erythrocebus patas (Schreber, 1774)",-80.49905,25.610495,1970,specimen,NA,http://www.museum.state.il.us/,Bison
"Erythrocebus patas (Schreber, 1774)",-106.44204,31.769974,1979,specimen,NA,http://www.utep.edu,Bison
"Erythrocebus patas (Schreber, 1774)",-121.80587,38.539646,NA,specimen,NA,http://mvz.berkeley.edu,Bison
Erythrocebus patas patas,-16.691763,15.4613,2020,HUMAN_OBSERVATION,113,iNaturalist,GBIF
"Erythrocebus patas (Schreber, 1774)",19.892986,10.914283,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
Erythrocebus patas patas,-17.0184,14.5569,2019,HUMAN_OBSERVATION,10,iNaturalist,GBIF
Erythrocebus patas patas,-16.353739,16.052542,2019,HUMAN_OBSERVATION,226,iNaturalist,GBIF
Erythrocebus patas patas,-16.19469,16.402547,2019,HUMAN_OBSERVATION,1454,iNaturalist,GBIF
Erythrocebus patas patas,-16.19469,16.402547,2019,HUMAN_OBSERVATION,1454,iNaturalist,GBIF
"Erythrocebus patas (Schreber, 1774)",32.476448,0.052827,2019,HUMAN_OBSERVATION,400,iNaturalist,GBIF
"Erythrocebus patas pyrrhonotus (Hemprich & Ehrenberg, 1829)",31.482525,2.293628,2019,HUMAN_OBSERVATION,10607,iNaturalist,GBIF
Erythrocebus patas patas,-3.791989,8.752639,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
Erythrocebus patas patas,2.309066,11.710278,2019,HUMAN_OBSERVATION,977,iNaturalist,GBIF
Erythrocebus patas patas,2.444306,12.088712,2019,HUMAN_OBSERVATION,7813,iNaturalist,GBIF
"Erythrocebus patas pyrrhonotus (Hemprich & Ehrenberg, 1829)",31.468642,2.303381,2019,HUMAN_OBSERVATION,7774,iNaturalist,GBIF
