species,lon,lat,year,record,coordinate_uncertainty,institution,database
Eumetopias jubatus,-122.87971,38.055004,NA,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1984,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1985,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1985,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1983,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1983,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1982,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1984,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1984,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1982,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1985,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1984,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1982,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1982,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1982,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1983,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1983,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1984,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1984,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1983,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1983,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1985,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1985,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1982,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-140.72,59.72,1985,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-154.5,58.07,2009,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-154.5,58.07,2009,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-154.5,58.07,2009,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-154.18,58.32,2009,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-154.18,58.32,2009,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-154.18,58.32,2009,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-149.64,59.79,1995,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-137.66,58.61,2001,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-150.54,59.51,2008,observation,NA,https://bison.usgs.gov,Bison
Eumetopias jubatus,-150.43,59.35,2008,observation,NA,https://bison.usgs.gov,Bison
