species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Giraffa camelopardalis (Linnaeus, 1758)",-98.4766,34.66263,1991,specimen,NA,http://www.angelo.edu/dept/biology/asnhc/,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-79.7647,35.6297,2000,specimen,NA,http://www.naturalsciences.org,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-122.50232,37.73284,2014,specimen,NA,http://www.calacademy.org,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-106.66348,35.07838,1984,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-106.66348,35.07838,NA,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-106.66348,35.07838,1987,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-106.66386,35.078392,1988,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-83.38421,42.66045,1978,specimen,NA,http://museum.msu.edu,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-71.02017,42.33196,2011,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-71.02017,42.33196,2017,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-73.98821,42.222397,1985,specimen,NA,NA,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-85.11311,41.07977,1975,specimen,NA,http://museum.msu.edu,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-83.38421,42.66045,1979,specimen,NA,http://museum.msu.edu,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-106.66348,35.07838,NA,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-106.66348,35.07838,1983,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-122.69597,38.55625,1992,specimen,NA,http://mvz.berkeley.edu,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",-98.4728,29.4556,1988,specimen,NA,http://www.depts.ttu.edu/museumttu/,Bison
"Giraffa camelopardalis (Linnaeus, 1758)",37.447831,-2.435515,2020,HUMAN_OBSERVATION,31436,iNaturalist,GBIF
"Giraffa camelopardalis (Linnaeus, 1758)",31.058295,-24.434349,2020,HUMAN_OBSERVATION,30069,iNaturalist,GBIF
