species,lon,lat,year,record,coordinate_uncertainty,institution,database
Gorilla beringei beringei,29.761703,-0.948749,2019,HUMAN_OBSERVATION,31449,iNaturalist,GBIF
Gorilla beringei beringei,29.726382,-1.11472,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.767909,-0.950216,2019,HUMAN_OBSERVATION,31449,iNaturalist,GBIF
Gorilla beringei beringei,29.737629,-0.97565,2019,HUMAN_OBSERVATION,31449,iNaturalist,GBIF
Gorilla beringei beringei,29.700718,-1.016826,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.640635,-1.198388,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.580566,-1.582289,2019,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Gorilla beringei beringei,29.626146,-1.045913,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.761861,-1.178985,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.738191,-1.059975,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.698521,-1.152264,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.645674,-1.140933,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.494993,-1.431348,2018,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Gorilla beringei beringei,29.698792,-1.049822,2018,HUMAN_OBSERVATION,250,naturgucker,GBIF
Gorilla beringei beringei,29.648233,-1.08963,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.680056,-1.128196,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.794792,-1.008586,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.757764,-1.064452,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.771935,-1.090502,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.611193,-1.144613,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.617936,-1.096895,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.651008,-1.17428,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.692596,-1.189302,2018,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.581423,-1.488046,2018,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Gorilla beringei beringei,29.715021,-0.812188,2017,HUMAN_OBSERVATION,31449,iNaturalist,GBIF
Gorilla beringei beringei,29.761543,-0.908886,2017,HUMAN_OBSERVATION,31449,iNaturalist,GBIF
Gorilla beringei beringei,29.442526,-1.511093,2017,HUMAN_OBSERVATION,33021,iNaturalist,GBIF
Gorilla beringei beringei,29.648772,-1.066858,2017,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.762968,-1.056893,2017,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.426262,-1.416492,2017,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
"Gorilla beringei graueri Matschie, 1914",28.67361,-2.232624,2017,HUMAN_OBSERVATION,31438,iNaturalist,GBIF
Gorilla beringei beringei,29.4615,-1.242595,2017,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.785829,-1.18293,2017,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
Gorilla beringei beringei,29.56535,-1.509394,2017,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Gorilla beringei beringei,29.451073,-1.552075,2017,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Gorilla beringei beringei,29.410801,-1.587419,2017,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
