species,lon,lat,year,record,coordinate_uncertainty,institution,database
Gulo gulo,-144.62,62.03,1997,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-144.62,62.03,1997,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-144.45,62.02,1995,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-144.45,62.02,1995,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-143.95,62.32,1994,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-143.98,62.31,1995,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-143.98,62.31,1995,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-143.95,62.32,1994,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-142.99,61.54,2004,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-142.99,61.54,2004,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-141.78,61.74,1998,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-141.78,61.74,1998,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-141.28,62.22,1998,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-141.28,62.22,1998,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-141.28,62.22,1998,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-141.28,62.22,1998,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-140.63,60.15,1982,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-140.63,60.15,1982,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-136.87,58.87,1993,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-163.82137,67.56176,NA,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-156.64,58.67,1995,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-105.69839,40.355568,NA,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-121.3476,48.832775,NA,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-150.67,59.52,1983,observation,NA,https://bison.usgs.gov,Bison
Gulo gulo,-150.32,59.63,1987,observation,NA,https://bison.usgs.gov,Bison
