species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Halichoerus grypus (Fabricius, 1791)",-64.79221,46.716446,2009,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-67.812,44.1313,2006,observation,NA,http://www.usgs.gov/,Bison
"Halichoerus grypus (Fabricius, 1791)",-67.8095,44.1295,2006,observation,NA,http://www.usgs.gov/,Bison
"Halichoerus grypus (Fabricius, 1791)",-66.05487,42.87878,2010,observation,NA,http://www.usgs.gov/,Bison
"Halichoerus grypus (Fabricius, 1791)",-68.00793,41.60789,2009,observation,NA,http://www.usgs.gov/,Bison
"Halichoerus grypus (Fabricius, 1791)",-63.523502,44.493114,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-64.3344,48.83105,2015,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.403324,46.362377,2017,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.384552,46.37483,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-69.6698,48.12027,2016,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-67.08715,44.537926,2017,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-62.169563,45.76711,2017,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.395588,46.313713,2011,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-63.570557,44.659294,2014,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-69.63478,48.10822,2012,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.3691,46.38675,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.373013,46.38704,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.373547,46.387405,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.39966,46.36498,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-60.387497,46.37271,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-68.104935,44.029976,2016,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-59.753887,43.98111,2018,observation,NA,http://www.inaturalist.org,Bison
"Halichoerus grypus (Fabricius, 1791)",-61.84375,47.427868,2017,observation,NA,http://www.inaturalist.org,Bison
Halichoerus grypus,-73.86086,40.618656,NA,observation,NA,https://bison.usgs.gov,Bison
