species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Hemitragus jemlahicus (C.H.Smith, 1826)",-120.43576,35.31023,NA,specimen,NA,http://mvz.berkeley.edu,Bison
"Hemitragus jemlahicus (C.H.Smith, 1826)",-120.43576,35.31023,NA,specimen,NA,http://mvz.berkeley.edu,Bison
"Hemitragus jemlahicus (C.H.Smith, 1826)",-83.38421,42.66045,1979,specimen,NA,http://museum.msu.edu,Bison
"Hemitragus jemlahicus (C.H.Smith, 1826)",-65.79305,18.299723,1987,specimen,NA,http://www.depts.ttu.edu/museumttu/,Bison
"Hemitragus jemlahicus (C.H.Smith, 1826)",-73.97018,40.776558,1931,specimen,NA,http://www.amnh.org/our-research/vertebrate-zoology,Bison
"Hemitragus jemlahicus (C.H.Smith, 1826)",170.411563,-43.419248,2019,HUMAN_OBSERVATION,27474,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",170.438751,-43.416415,2019,HUMAN_OBSERVATION,27474,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",170.583603,-44.196145,2019,HUMAN_OBSERVATION,27380,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",170.014444,-43.476832,2019,HUMAN_OBSERVATION,27474,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",18.422507,-33.869233,2019,HUMAN_OBSERVATION,28902,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",170.09071,-43.24279,2019,HUMAN_OBSERVATION,27505,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",86.669273,27.845778,2019,HUMAN_OBSERVATION,29680,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",18.596936,-34.164341,2019,HUMAN_OBSERVATION,28874,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",18.398892,-33.814459,2019,HUMAN_OBSERVATION,28902,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",86.641692,27.849633999999998,2019,HUMAN_OBSERVATION,29680,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",85.589545,28.329129,2019,HUMAN_OBSERVATION,29631,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",85.753493,28.340741,2019,HUMAN_OBSERVATION,29631,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",85.539897,28.343211,2019,HUMAN_OBSERVATION,29631,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",85.57982,28.007247,2019,HUMAN_OBSERVATION,29656,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",85.530442,28.283648,2019,HUMAN_OBSERVATION,29631,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",18.232411,-33.959388,2019,HUMAN_OBSERVATION,28902,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",85.748669,28.257138,2019,HUMAN_OBSERVATION,29631,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",85.789578,28.322337,2019,HUMAN_OBSERVATION,29631,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",86.7,28,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",18.565984,-33.970978,2019,HUMAN_OBSERVATION,28902,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",170.949351,-43.410847,2019,HUMAN_OBSERVATION,27474,iNaturalist,GBIF
"Hemitragus jemlahicus (C.H.Smith, 1826)",170.074226,-44.316214,2019,HUMAN_OBSERVATION,27348,iNaturalist,GBIF
