species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Hippocamelus bisulcus (Molina, 1782)",-72.977282,-51.078924,2019,HUMAN_OBSERVATION,26261,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.871394,-45.945624,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.861515,-46.170668,2019,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.889373,-46.043102,2019,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.870217,-51.120359,2019,HUMAN_OBSERVATION,26261,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.008984,-46.011528,2019,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-73.140408,-50.843048,2019,HUMAN_OBSERVATION,26293,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.850573,-45.998319,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.075934,-46.051394,2019,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.911631,-45.84344,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.912101,-46.121329,2019,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.812525,-46.048185,2019,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.545338,-46.657553,2019,HUMAN_OBSERVATION,26967,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.975868,-51.183532,2018,HUMAN_OBSERVATION,26261,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-73.036672,-51.049764,2018,HUMAN_OBSERVATION,26261,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.939395,-49.374829,2018,HUMAN_OBSERVATION,26550,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.917198,-49.301754,2018,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.977121,-51.015109,2017,HUMAN_OBSERVATION,26261,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.870263,-46.086858,2017,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.024243,-45.921561,2016,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.890621,-46.03708,2014,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.437509,-47.204851,2012,HUMAN_OBSERVATION,NA,CTALA_LB,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-73.014559,-51.036349,2007,HUMAN_OBSERVATION,26261,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-73.031902,-51.175309,2007,HUMAN_OBSERVATION,26261,iNaturalist,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.729439,-46.256023,2006,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Hippocamelus bisulcus (Molina, 1782)",0,0,2005,HUMAN_OBSERVATION,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.31538,-41.3011,1995,PRESERVED_SPECIMEN,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.31538,-41.3011,1995,PRESERVED_SPECIMEN,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.716667,-44.86667,1993,PRESERVED_SPECIMEN,NA,INAPL/LZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.716667,-44.86667,1993,PRESERVED_SPECIMEN,NA,INAPL/LZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.30989,-40.81978,1984,PRESERVED_SPECIMEN,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.31538,-41.3011,1984,PRESERVED_SPECIMEN,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-73.02467,-50.46476,1981,PRESERVED_SPECIMEN,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.33186,-41.26523,1979,PRESERVED_SPECIMEN,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-73.01764,-50.46747,1973,PRESERVED_SPECIMEN,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71,-30,1925,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71,-30,1925,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.699997,-45.266666,1923,PRESERVED_SPECIMEN,NA,FMNH,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.699997,-45.266666,1923,PRESERVED_SPECIMEN,NA,FMNH,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71.699997,-45.266666,1923,PRESERVED_SPECIMEN,NA,FMNH,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-72.08,-47.25,1914,PRESERVED_SPECIMEN,2000,MVZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-70.911288,-53.15483,1700,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-73.847606,-42.547457,1700,PRESERVED_SPECIMEN,110787,MCZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71,-30,1700,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",-71,-30,1700,PRESERVED_SPECIMEN,301,MCZ,GBIF
"Hippocamelus bisulcus (Molina, 1782)",0,0,NA,HUMAN_OBSERVATION,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",0,0,NA,HUMAN_OBSERVATION,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",0,0,NA,HUMAN_OBSERVATION,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",0,0,NA,HUMAN_OBSERVATION,NA,APN-AR,GBIF
"Hippocamelus bisulcus (Molina, 1782)",0,0,NA,HUMAN_OBSERVATION,NA,APN-AR,GBIF
