species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",29.872726,-0.155826,2020,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,32.3611,-28.3198,2020,HUMAN_OBSERVATION,100,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,32.3611,-28.3198,2020,HUMAN_OBSERVATION,100,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,35.269749,-15.008078,2020,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",17.311374,-22.775521,2020,HUMAN_OBSERVATION,122,iNaturalist,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",36.861488,-3.239795,2020,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",36.877405,-3.23365,2020,HUMAN_OBSERVATION,395,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,32.3889,-28.3403,2020,HUMAN_OBSERVATION,100,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,31.420898,-24.046465,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",29.440404,3.7187770000000002,2019,HUMAN_OBSERVATION,31418,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,32.4323,-28.3153,2019,HUMAN_OBSERVATION,100,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,32.3846,-28.2919,2019,HUMAN_OBSERVATION,100,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",-3.631468,8.971242,2019,HUMAN_OBSERVATION,31262,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",36.45212,-0.764008,2019,HUMAN_OBSERVATION,31450,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,28.31763,-25.89378,2019,HUMAN_OBSERVATION,2,iNaturalist,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",38.125,0.375,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",36.125,-0.375,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",37.625,0.625,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",38.125,0.125,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",30.794969,-1.620786,2019,HUMAN_OBSERVATION,31444,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,31.92387,-28.294245,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,29.623521,-29.141197,2019,HUMAN_OBSERVATION,526,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,32.3673,-28.3338,2019,HUMAN_OBSERVATION,100,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",30.633825,-1.818253,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",19.897197,10.891604,2019,HUMAN_OBSERVATION,31169,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",19.860423,10.823225,2019,HUMAN_OBSERVATION,31169,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,17.219647,-22.810644,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,31.177764,-26.481232,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,31.180731,-26.478433,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",28.473251,-15.025953,2019,HUMAN_OBSERVATION,30913,iNaturalist,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",22.851568,-32.546119,2019,HUMAN_OBSERVATION,2931896,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",30.078753,-0.135921,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.810297,11.481016,2019,HUMAN_OBSERVATION,31137,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.818942,11.55929,2019,HUMAN_OBSERVATION,31137,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.955589,11.202836,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",-13.224158,13.182537,2019,HUMAN_OBSERVATION,31045,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",-13.254572,13.055711,2019,HUMAN_OBSERVATION,31045,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,27.933497,-25.74175,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",36.077697,-0.317823,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
Kobus ellipsiprymnus ellipsiprymnus,25.146246,-17.806419000000002,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.505644,11.381201,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.474993,11.267236,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.541664,11.329095,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.559435,11.365687,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Kobus ellipsiprymnus (Ogilby, 1833)",38.1639,-0.1173,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Kobus ellipsiprymnus defassa (Rüppell, 1835)",1.964856,11.585748,2019,HUMAN_OBSERVATION,31137,iNaturalist,GBIF
