species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Leptonychotes weddellii (Lesson, 1826)",-63.140783,-64.691727,2019,HUMAN_OBSERVATION,50154,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",-62.563368,-64.518401,2019,HUMAN_OBSERVATION,64276,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.482722,-77.720152,2019,HUMAN_OBSERVATION,918,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.774046,-77.850921,2019,HUMAN_OBSERVATION,79,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.482722,-77.720152,2019,HUMAN_OBSERVATION,918,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779792,-77.848033,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",-36.013663,-54.837683,2019,HUMAN_OBSERVATION,1249,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.780764,-77.848017,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.780764,-77.848017,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.780764,-77.848017,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",-56.91311,-63.510475,2019,HUMAN_OBSERVATION,73112,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.780764,-77.848017,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",-63.503762,-64.817211,2019,HUMAN_OBSERVATION,605,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",-58.873011,-62.184159,2018,HUMAN_OBSERVATION,681,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",166.779781,-77.864124,2018,HUMAN_OBSERVATION,3630,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",-68.414704,-67.726365,2018,HUMAN_OBSERVATION,200,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",162.565478,-66.559656,2018,HUMAN_OBSERVATION,1953,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",162.562389,-66.559116,2018,HUMAN_OBSERVATION,977,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",162.558269,-66.558296,2018,HUMAN_OBSERVATION,977,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",162.554149,-66.558842,2018,HUMAN_OBSERVATION,977,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",-58.834312,-62.250276,2018,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",76.1143,-69.2424,2018,HUMAN_OBSERVATION,15625,iNaturalist,GBIF
"Leptonychotes weddellii (Lesson, 1826)",76.1143,-69.2424,2018,HUMAN_OBSERVATION,15625,iNaturalist,GBIF
