species,lon,lat,year,record,coordinate_uncertainty,institution,database
Lontra canadensis,-122.55147,37.86264,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-145.39,60.41,1994,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-91.19398,43.085724,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-90.58144,46.937214,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-90.13475,29.809889,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-156.93,64.73,1987,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-156.64,58.67,1995,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-113.44162,43.282867,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-112.032,34.77205,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-111.84214,34.612377,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-108.59056,40.46058,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-121.80302,46.865612,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-72.37221,43.5003,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-84.72245,36.08458,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-86.433334,35.873104,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-150.33,59.47,1990,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-150.32,59.63,1990,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-150.03,59.83,1995,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.86,59.74,1990,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.82,59.83,2008,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.67,59.95,1990,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.66,59.84,1996,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.64,59.84,1995,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.61,60.16,1993,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-71.29599,42.45341,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-80.75412,28.786247,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-163.49,67.34,2007,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-163.48,67.36,2007,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-153.57,58.66,2008,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-150.73,59.3,2008,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-150.33,59.61,1991,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-150.25,59.52,1990,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-150.02,59.62,2008,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.92,59.72,1996,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.8,59.81,2008,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-149.64,59.86,1995,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-145.24,60.35,1994,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-140.31,59.69,1983,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-140.31,59.69,1983,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-140.21,59.7,2001,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-83.52819,35.57156,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-80.88182,25.372168,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-81.081154,25.970432,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-81.45253,30.858526,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-77.38403,38.588196,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-76.929054,38.197865,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-77.055115,38.683884,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-78.6762,38.281067,NA,observation,NA,https://bison.usgs.gov,Bison
"Lontra canadensis (Schreber, 1777)",-79.197,43.8444,NA,observation,NA,http://www.rom.on.ca,Bison
"Lontra canadensis (Schreber, 1777)",-122.70877,38.004276,2016,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-82.01069,34.146496,2017,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-128.12825,51.65475,2018,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-80.76372,28.22686,2016,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-93.21616,45.42206,2017,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-81.415985,25.923197,2017,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-73.074234,41.521065,2018,observation,NA,http://www.inaturalist.org,Bison
Lontra canadensis,-107.167915,38.46276,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-90.51215,32.255672,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-77.04568,38.96263,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-77.007774,38.818317,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-77.00306,38.745834,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-76.9486,38.9089,NA,observation,NA,https://bison.usgs.gov,Bison
Lutra canadensis,-76.94439,38.917732,NA,observation,NA,https://bison.usgs.gov,Bison
Lontra canadensis,-76.5175,37.2189,NA,observation,NA,https://bison.usgs.gov,Bison
"Lontra canadensis (Schreber, 1777)",-135.31851,57.04666,2018,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-135.31851,57.04763,2017,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-123.00939,38.46507,2017,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-123.383354,48.42269,2007,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-123.2994,48.42415,2015,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-123.30337,48.429897,2015,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-124.076515,49.253773,2017,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-129.9044,54.613384,2016,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-80.56467,51.676228,2013,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-124.08178,49.25649,2018,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-123.467735,48.42588,2017,observation,NA,http://www.inaturalist.org,Bison
"Lontra canadensis (Schreber, 1777)",-123.86062,49.199528,2018,observation,NA,http://www.inaturalist.org,Bison
