species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Lycalopex culpaeus (Molina, 1782)",-71.029409,-33.016936,2020,HUMAN_OBSERVATION,977,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-73.019687,-50.478982,2020,HUMAN_OBSERVATION,791,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-70.492905,-32.511422,2020,HUMAN_OBSERVATION,447,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-72.949897000000007,-50.94308,2020,HUMAN_OBSERVATION,24,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.454597,-0.620148,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.505048,-0.659734,2019,HUMAN_OBSERVATION,698,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.439953,-0.656283,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-72.872131,-50.971596,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-71.179649,-47.24622,2019,HUMAN_OBSERVATION,31,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-70.253953,-33.359172,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.505048,-0.659734,2019,HUMAN_OBSERVATION,698,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.156443,-0.551611,2019,HUMAN_OBSERVATION,212,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.315798,-0.463772,2019,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-67.194399,-25.455075,2019,HUMAN_OBSERVATION,1555,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-68.140737,-16.514039,2019,HUMAN_OBSERVATION,31746,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-69.902718,-35.873117,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-68.016078,-22.358087,2019,HUMAN_OBSERVATION,122,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-71.193061,-47.240965,2019,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-71.190277,-28.710556,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.258406,-0.83458,2019,HUMAN_OBSERVATION,22,iNaturalist,GBIF
Lycalopex culpaeus culpaeus,-72.517102,-41.148837,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-70.988208,-33.068561,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.34951,-0.24448,2019,HUMAN_OBSERVATION,1566,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-68.024,-16.653,2019,HUMAN_OBSERVATION,50,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-68.024,-16.653,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-68.024,-16.653,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-79.440173,-4.7121,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-72.965155,-50.252519,2019,HUMAN_OBSERVATION,13173,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-65.768761,-26.738341,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-70.358632,-33.346817,2019,HUMAN_OBSERVATION,616,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-70.358632,-33.346817,2019,HUMAN_OBSERVATION,616,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-71.1149,-33.985962,2019,HUMAN_OBSERVATION,28902,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-72.524231,-51.038155,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-70.298323,-33.337827,2019,HUMAN_OBSERVATION,142,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-78.472983,-0.613403,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-68.037393,-22.415407,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-67.882997,-22.051545,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Lycalopex culpaeus (Molina, 1782)",-69.219724,-32.479995,2019,HUMAN_OBSERVATION,31,iNaturalist,GBIF
