species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Lycaon pictus (Temminck, 1820)",-106.66386,35.078392,1975,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Lycaon pictus (Temminck, 1820)",-116.776115,33.023605,1986,specimen,NA,http://www.depts.ttu.edu/museumttu/,Bison
Lycaon pictus pictus,31.740758,-25.354573,2020,HUMAN_OBSERVATION,29981,iNaturalist,GBIF
Lycaon pictus pictus,31.449579,-24.608121,2019,HUMAN_OBSERVATION,30047,iNaturalist,GBIF
Lycaon pictus pictus,31.613976,-24.589399,2019,HUMAN_OBSERVATION,30069,iNaturalist,GBIF
Lycaon pictus pictus,31.782519,-24.370955,2019,HUMAN_OBSERVATION,30090,iNaturalist,GBIF
"Lycaon pictus (Temminck, 1820)",32.253983,-11.846221,2019,HUMAN_OBSERVATION,61551,iNaturalist,GBIF
"Lycaon pictus (Temminck, 1820)",32.363739,-11.839273,2019,HUMAN_OBSERVATION,61551,iNaturalist,GBIF
Lycaon pictus pictus,23.976542,-22.182743,2019,HUMAN_OBSERVATION,30318,iNaturalist,GBIF
"Lycaon pictus (Temminck, 1820)",38.1639,-0.1173,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
Lycaon pictus pictus,23.54181,-19.302398,2019,HUMAN_OBSERVATION,42155,iNaturalist,GBIF
Lycaon pictus pictus,23.434941,-19.2203,2019,HUMAN_OBSERVATION,42155,iNaturalist,GBIF
Lycaon pictus pictus,31.733125,-24.453763,2019,HUMAN_OBSERVATION,30069,iNaturalist,GBIF
"Lycaon pictus (Temminck, 1820)",25.10942,-17.869281,2019,HUMAN_OBSERVATION,30699,iNaturalist,GBIF
Lycaon pictus pictus,23.662688,-19.067824,2019,HUMAN_OBSERVATION,30598,iNaturalist,GBIF
Lycaon pictus pictus,23.721523,-19.035035,2019,HUMAN_OBSERVATION,30598,iNaturalist,GBIF
Lycaon pictus pictus,23.623943,-19.043972,2019,HUMAN_OBSERVATION,30598,iNaturalist,GBIF
Lycaon pictus pictus,23.756551,-19.185698,2019,HUMAN_OBSERVATION,30598,iNaturalist,GBIF
Lycaon pictus pictus,23.691657,-19.161215,2019,HUMAN_OBSERVATION,30598,iNaturalist,GBIF
