species,lon,lat,year,record,coordinate_uncertainty,institution,database
Lynx rufus,-82.451065,35.268154,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-90.51215,32.255672,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-92.930115,44.772236,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-94.355225,36.987133,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-109.345406,32.010994,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-107.99993,36.83683,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-107.167915,38.46276,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-104.60627,32.123074,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-103.830536,43.7308,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-103.45899,43.880333,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-121.412125,40.486176,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-121.3476,48.832775,NA,observation,NA,https://bison.usgs.gov,Bison
Lynx rufus,-118.46294,46.04119,NA,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-118.00577,33.969242,2001,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-118.00577,33.969242,2001,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-118.00577,33.969242,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-118.00231,33.96838,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-118.00112,33.9694,2001,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.999985,33.96919,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.74906,33.806778,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.74672,33.808666,2003,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.74672,33.808666,2003,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.74672,33.808666,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.74478,33.813393,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.738235,33.83026,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.73421,33.836605,2002,observation,NA,https://bison.usgs.gov,Bison
Felis rufus,-117.73301,33.82087,2003,observation,NA,https://bison.usgs.gov,Bison
