species,lon,lat,year,record,coordinate_uncertainty,institution,database
Limnodynastes tasmaniensis,151.86361,-29.02943,1973,PreservedSpecimen,10000,0000004c-b04e-4a52-aed4-a5c90e2dbe38,Vertnet
Furina diadema,150.7,-33.75,1979,PreservedSpecimen,10000,0000ccff-be0f-4ea0-8d8a-b382e7e1f834,Vertnet
Hemiaspis signata,151.50638,-32.24944,1975,PreservedSpecimen,10000,0000f7da-e6d7-4dc7-aa54-d4e737ea2684,Vertnet
Litoria wotjulumensis,132.95,-12.383,1973,PreservedSpecimen,10000,000104de-f2a6-42f3-b3aa-959a9c63f41f,Vertnet
Litoria phyllochroa,152.833,-30.366,1972,PreservedSpecimen,10000,0002123f-67b0-42d9-b636-0259ec43bd68,Vertnet
Carlia pectoralis,146.733,-19.4,1976,PreservedSpecimen,10000,0003d567-cea4-48bd-8599-9411ee420c19,Vertnet
Bavayia montana,165.316,-21.133,1996,PreservedSpecimen,10000,0003da03-9ed4-48f4-836b-75162339c2fd,Vertnet
Heteronotia binoei,144.516,-17.15,1976,PreservedSpecimen,10000,000469a4-ef5a-438b-957f-5dea80fdac98,Vertnet
Heteronotia binoei,141.616,-14.9,1968,PreservedSpecimen,10000,0008ea26-386d-488b-9fa3-78a9c6b9477d,Vertnet
Taudactylus eungellensis,148.5,-21.133,1971,PreservedSpecimen,10000,000977f7-1488-48e3-ac85-b99105c36af2,Vertnet
Hemiergis decresiensis,138.85,-34.45,1976,PreservedSpecimen,10000,000988d5-805e-47ad-bcb3-9880b59b8190,Vertnet
Carlia sexdentata,143.416,-9.733,1974,PreservedSpecimen,10000,0009ee67-9237-4a84-b5a2-ea1e845d22a1,Vertnet
Austrochaperina fryi,145.283,-16.583,1971,PreservedSpecimen,10000,000a87b4-fa1f-4c5b-8c3f-767ec4def073,Vertnet
Bavayia sauvagii,165.61416,-21.4811,1996,PreservedSpecimen,100,000ab8d0-a691-48b2-bd69-321efe1ad777,Vertnet
Tiliqua scincoides,151.566,-33.216,1995,PreservedSpecimen,10000,000c9687-0d85-409b-a65a-4a9196708a5d,Vertnet
Lampropholis delicata,152.116,-31.783,1991,PreservedSpecimen,10000,000cc561-202e-4f97-9e4e-da7b1d16cd8e,Vertnet
Saproscincus mustelina,150.283,-33.616,1973,PreservedSpecimen,10000,000d2224-7a4d-4dfc-a10a-27f4be51bf26,Vertnet
Morelia spilota,147.2,-9.416,1986,PreservedSpecimen,10000,000e1985-ec6f-404c-a10c-5135e15fa526,Vertnet
Emydura subglobosa,141.433,-7,1973,PreservedSpecimen,100000,000e6959-0ab3-45ef-b682-d297c2b7f785,Vertnet
Carlia tetradactyla,150.966,-32.7,1975,PreservedSpecimen,10000,000ecc7c-f748-4225-bd2c-495d46a1b222,Vertnet
Christinus marmoratus,128.866,-31.683,1976,PreservedSpecimen,10000,000fda53-9c6b-4d0e-801a-c91131c1f859,Vertnet
Bavayia cyclura,166.65,-22.1,1995,PreservedSpecimen,100000,00102324-9241-4601-984b-3029e24f84c8,Vertnet
Caledoniscincus festivus,166.67027,-22.09638,1995,PreservedSpecimen,100,0010414d-d061-4fcd-b227-506417bfcf37,Vertnet
Ctenotus alacer,133.866,-23.7,1977,PreservedSpecimen,10000,0010cd29-8d41-4340-9487-5f1f7b1827d9,Vertnet
Lampropholis delicata,149.933,-36.133,1975,PreservedSpecimen,10000,00111ea3-e751-4a2f-9eb4-7d442e467bdc,Vertnet
Heteronotia binoei,143.916,-18.25,1977,PreservedSpecimen,10000,0012f4ba-ecb9-4abf-b47d-547fe86b641f,Vertnet
Chelodina longicollis,151.666,-30.566,1976,PreservedSpecimen,10000,0017c83a-78e1-4b0c-ab2d-f3f024fa4976,Vertnet
Hemiergis decresiensis,148.916,-35.283,1968,PreservedSpecimen,10000,00188779-b3f9-4569-a958-1cb04dcb3dcc,Vertnet
Emoia jakati,145.883,-4.633,1965,PreservedSpecimen,100000,001999e4-4d5e-49f7-b92c-b35b53acc2d2,Vertnet
Heteronotia binoei,132.933,-12.683,1981,PreservedSpecimen,10000,001b63df-4e9e-48ae-bc7a-232970957ffc,Vertnet
Litoria tornieri,134.116,-12.35,1978,PreservedSpecimen,100000,001b80d5-6058-4be2-946b-1104b88bebe7,Vertnet
Egernia whitii,149.033,-36.25,1943,PreservedSpecimen,10000,001c32de-3e1e-4f46-889c-417bf59c42a3,Vertnet
Cryptoblepharus virgatus,135.833,-34.916,1979,PreservedSpecimen,10000,001d0978-5435-41f4-8a97-c2696a04067d,Vertnet
Acrochordus arafurae,132.866,-12.483,1983,PreservedSpecimen,10000,001ddb94-0bdf-451b-b0ef-0301e0d6a86a,Vertnet
Eulamprus kosciuskoi,151.366,-31.866,1969,PreservedSpecimen,10000,001e0992-15ef-483a-8929-ddeeb585e71f,Vertnet
Laticauda saintgironsi,166.566,-22.333,1984,PreservedSpecimen,100000,001f43c1-071d-41a8-a069-0feaad483d0d,Vertnet
Lampropholis guichenoti,149.86333,-36.54555,1980,PreservedSpecimen,1000,00203fae-212d-4f8a-9e35-00dd248a8e7f,Vertnet
Oedura lesueurii,151.70805,-29.25527,1998,PreservedSpecimen,100,0020864b-5caf-4a5c-a6ac-78fa51e48863,Vertnet
Tiliqua scincoides,151.083,-34.033,1968,PreservedSpecimen,10000,0021a2e6-fcd7-4e2d-a8db-d9b950b7432a,Vertnet
Limnodynastes tasmaniensis,142,-31.883,1928,PreservedSpecimen,10000,00242afd-793c-43a5-83bc-a5278eb06c2c,Vertnet
Lepidodactylus lugubris,168.3,-17.75,1983,PreservedSpecimen,10000,0024678d-3ecb-4db1-9f86-d4f7db64a61a,Vertnet
Gehyra punctata,123.65,-17.616,1985,PreservedSpecimen,10000,00265681-cbe7-4106-86ac-28ef00d596b6,Vertnet
Nactus pelagicus,147.2,-9.45,1986,PreservedSpecimen,10000,0027c983-a2cf-410b-80d3-b2515540caab,Vertnet
Litoria dorsalis,142.266,12.133,1981,PreservedSpecimen,10000,0029db1c-5a28-46a5-b455-5b5071452292,Vertnet
Carlia tetradactyla,151.88499,-29.51804,1972,PreservedSpecimen,10000,002bd4ab-913c-4d9c-abbf-576a666cf7cf,Vertnet
Limnodynastes peronii,151.80833,-30.09638,1971,PreservedSpecimen,10000,002c7175-3dd1-405d-8e9f-ef783ddd501f,Vertnet
Litoria phyllochroa,150.516,-33.7,1964,PreservedSpecimen,10000,002ecc19-9c69-4fc7-9102-f1efeb4fd247,Vertnet
Litoria latopalmata,152.033,-25.166,1967,PreservedSpecimen,10000,002f3d54-5749-4f37-aec8-13da44e38bb2,Vertnet
Pseudonaja mengdeni,134.066,-26.9,1968,PreservedSpecimen,10000,0031f881-c67f-480e-a609-e5b1b811d823,Vertnet
Ctenotus taeniolatus,150.24721,-33.57638,1980,PreservedSpecimen,1000,00321d58-43d5-467a-a5aa-a7da582b44f0,Vertnet
Gehyra variegata/purpurascens,129.666,-25.55,1966,PreservedSpecimen,10000,0034f2d9-e940-4288-af09-c94d8a5b1b11,Vertnet
Litoria verreauxii,149.95,-35.366,1977,PreservedSpecimen,10000,0035b0c5-d3c4-418d-82d1-e6a27d5caf9f,Vertnet
Calyptotis scutirostrum,152.783,-30.15,2009,PreservedSpecimen,10000,00380ee0-4454-4f8d-b1df-b58e9b4b9d71,Vertnet
Crinia riparia,138.6,-31.1,1975,PreservedSpecimen,10000,00393691-e37c-4476-85ff-d2a273413d3a,Vertnet
Niveoscincus coventryi,150.05,-33.966,1998,PreservedSpecimen,10000,003a38ec-be9a-4486-b40e-1a84577ce312,Vertnet
Tiliqua scincoides,151.05,-33.783,1980,PreservedSpecimen,10000,003bb089-e045-4493-9de9-c1f045796c69,Vertnet
Lerista connivens,113.5625,-25.92388,2013,PreservedSpecimen,100,003df39e-bd11-46bf-b562-0bcb57a43174,Vertnet
Crinia tinnula,151.8,-32.783,1994,PreservedSpecimen,10000,0040c1b6-0009-4998-bcfe-bf095edbb78f,Vertnet
