species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Macropus eugenii (Desmarest, 1817)",-73.2,41.7667,NA,specimen,NA,http://www.peabody.yale.edu,Bison
"Macropus eugenii (Desmarest, 1817)",-73.2,41.7667,1956,specimen,NA,http://www.peabody.yale.edu,Bison
"Macropus eugenii (Desmarest, 1817)",-73.2,41.7667,NA,specimen,NA,http://www.peabody.yale.edu,Bison
"Macropus eugenii (Desmarest, 1817)",-119.663055,34.419445,1978,specimen,NA,http://www.sbnature.org/,Bison
"Macropus eugenii (Desmarest, 1817)",-119.663055,34.419445,1980,specimen,NA,http://www.sbnature.org/,Bison
"Macropus eugenii (Desmarest, 1817)",-119.663055,34.419445,1978,specimen,NA,http://www.sbnature.org/,Bison
"Macropus eugenii (Desmarest, 1817)",-119.663055,34.419445,1981,specimen,NA,http://www.sbnature.org/,Bison
"Macropus eugenii (Desmarest, 1817)",-119.663055,34.419445,1980,specimen,NA,http://www.sbnature.org/,Bison
"Macropus eugenii (Desmarest, 1817)",-119.663055,34.419445,1980,specimen,NA,http://www.sbnature.org/,Bison
"Macropus eugenii (Desmarest, 1817)",-71.39651,42.479477,1989,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Macropus eugenii (Desmarest, 1817)",116.951572,-32.755953,2019,HUMAN_OBSERVATION,1632,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",116.245856,-31.822264,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",116.593081,-34.175097,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",176.243833,-38.088121,2019,HUMAN_OBSERVATION,28300,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",137.95455,-35.72389,2019,HUMAN_OBSERVATION,250,NA,GBIF
"Macropus eugenii (Desmarest, 1817)",136.766275,-35.932499,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",176.429977,-38.056911,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",176.370056,-37.993952,2019,HUMAN_OBSERVATION,20,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",138.01261,-35.86129,2019,HUMAN_OBSERVATION,500,NA,GBIF
"Macropus eugenii (Desmarest, 1817)",117.335713,-32.552519,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",136.787586,-35.953828,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Macropus eugenii (Desmarest, 1817)",137.940346,-35.719291,2019,HUMAN_OBSERVATION,15,iNaturalist,GBIF
