species,lon,lat,year,record,coordinate_uncertainty,institution,database
Marmota flaviventris,-113.71318,42.06973,NA,observation,NA,https://bison.usgs.gov,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.98977,38.95916,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.98977,38.95916,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.25019,43.389023,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.75974,39.47005,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.3745,37.555935,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.26804,37.917793,2017,observation,NA,http://www.inaturalist.org,Bison
Marmota flaviventris,-107.8898,45.334873,NA,observation,NA,https://bison.usgs.gov,Bison
Marmota flaviventris,-111.283775,38.383545,NA,observation,NA,https://bison.usgs.gov,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-117.22443,47.681705,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-117.223755,47.680393,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-120.18245,38.876354,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.58626,36.455917,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.71553,36.606815,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.43991,36.586864,2008,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.990166,38.95634,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.317024,40.01307,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.51311,39.393246,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.47366,40.801548,2016,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.71002,36.69485,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.32439,41.334934,1980,specimen,NA,http://www.uwyo.edu/biodiversity/vertebrate-museum/,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-120.05405,38.93945,2011,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.739944,40.439964,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.5201,40.290382,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.76756,40.433525,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-112.40643,41.332565,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.65617,40.298817,2014,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-110.835846,43.78696,2014,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.59133,40.583767,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.35547,37.768543,2011,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.68818,40.28513,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-108.15445,39.00073,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-110.64125,44.484577,2010,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.95334,44.34164,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.52465,39.59001,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.50865,36.46646,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.69397,40.356403,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-110.72863,43.783813,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-104.97893,39.71757,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.76832,40.43292,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.243835,37.941505,2010,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-120.158,38.8445,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-110.588455,44.427963,2015,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-117.39887,38.79985,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-113.62765,37.554924,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-112.630325,37.554012,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.68364,40.342793,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.1982,37.690212,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.87496,37.27988,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.69187,40.54269,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-110.28025,44.91396,2008,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.82887,41.78264,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.2486,36.257565,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.75695,40.424736,2010,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.79213,35.79274,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.72444,40.41405,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.36757,37.878292,2013,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.35764,37.87709,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.89404,43.09998,2016,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.626526,39.505737,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.68362,36.433315,2012,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-117.29682,47.03237,2016,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.98808,46.95629,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-112.44572,42.85369,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.66669,40.30982,2006,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-118.69436,36.61127,2011,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.98855,38.6952,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.32259,37.8663,2008,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-120.09139,38.895557,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-103.532265,43.86612,2011,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-110.71657,44.96502,2010,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-107.914055,44.823425,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.642944,39.58773,2007,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-106.098564,39.387722,2008,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.24705,38.283733,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.24703,38.283833,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-109.41122,44.990364,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.25357,37.929188,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-105.64277,39.584194,2001,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-111.59276,40.603477,2017,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-119.266846,37.91405,2018,observation,NA,http://www.inaturalist.org,Bison
"Marmota flaviventris (Audubon & Bachman, 1841)",-110.448006,44.818546,2013,observation,NA,http://www.inaturalist.org,Bison
