species,lon,lat,year,record,coordinate_uncertainty,institution,database
Microtus oeconomus,-156.93,64.73,1987,observation,NA,https://bison.usgs.gov,Bison
Microtus oeconomus,-151.36191,63.169353,NA,observation,NA,https://bison.usgs.gov,Bison
"Microtus oeconomus (Pallas, 1776)",-153.48529,57.39546,1913,specimen,NA,http://www.calacademy.org,Bison
"Microtus oeconomus (Pallas, 1776)",-167,67.41,1973,specimen,NA,http://www.uaf.edu/museum/,Bison
"Microtus oeconomus (Pallas, 1776)",-166.78,68.13,1963,specimen,NA,http://www.uaf.edu/museum/,Bison
"Microtus oeconomus (Pallas, 1776)",-164.82266,52.21136,1996,specimen,NA,http://www.uaf.edu/museum/,Bison
"Microtus oeconomus (Pallas, 1776)",-164.82266,52.21136,1996,specimen,NA,http://www.uaf.edu/museum/,Bison
"Microtus oeconomus (Pallas, 1776)",-142.43413,60.060673,1941,specimen,NA,http://www.calacademy.org,Bison
"Microtus oeconomus (Pallas, 1776)",-149.90242,61.217525,1947,specimen,NA,http://www.calacademy.org,Bison
"Microtus oeconomus (Pallas, 1776)",-147.81915,65.853806,2010,specimen,NA,http://www.peabody.yale.edu,Bison
"Microtus oeconomus (Pallas, 1776)",-144.51833,60.19722,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Microtus oeconomus (Pallas, 1776)",-144.51833,60.19722,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Microtus oeconomus (Pallas, 1776)",-144.51833,60.19722,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Microtus oeconomus (Pallas, 1776)",-144.51833,60.19722,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Microtus oeconomus (Pallas, 1776)",-147.81915,65.853806,2010,specimen,NA,http://www.peabody.yale.edu,Bison
"Microtus oeconomus (Pallas, 1776)",-166.78334,68.13333,1963,specimen,NA,http://www.uaf.edu/museum/,Bison
"Microtus oeconomus (Pallas, 1776)",-54.1686,-25.8586,1903,specimen,NA,http://www.amnh.org/our-research/vertebrate-zoology,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1949,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1949,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1949,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-108.5,67.583,1950,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-138.35,69.316666,1975,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-138.35,69.316666,1975,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-138.35,69.316666,1975,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-138.35,69.316666,1975,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-138.35,69.316666,1975,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-138.35,69.316666,1975,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-138.35,69.316666,1975,specimen,NA,http://www.rom.on.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-132.8361,69.65417,NA,specimen,NA,http://www.nature.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-123.96667,69.71667,1955,specimen,NA,http://www.nature.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-123.96667,69.71667,1955,specimen,NA,http://www.nature.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-123.96667,69.71667,1955,specimen,NA,http://www.nature.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-123.96667,69.71667,1955,specimen,NA,http://www.nature.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-123.96667,69.71667,1955,specimen,NA,http://www.nature.ca,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-106.7833,68.15,1998,specimen,NA,http://www.ubc.ca/%20,Bison
"Microtus oeconomus (Pallas, 1776)",-123.96667,69.71667,1955,specimen,NA,http://www.nature.ca,Bison
Microtus oeconomus,-163.92009,65.75683,NA,observation,NA,https://bison.usgs.gov,Bison
Microtus oeconomus,-163.82137,67.56176,NA,observation,NA,https://bison.usgs.gov,Bison
Microtus oeconomus,-162.1135,67.52456,NA,observation,NA,https://bison.usgs.gov,Bison
