species,lon,lat,year,record,coordinate_uncertainty,institution,database
Odocoileus virginianus,-91.3472,34.020782,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-90.58144,46.937214,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-90.13475,29.809889,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-92.930115,44.772236,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-94.355225,36.987133,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-94.03248,36.455704,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-93.40985,37.09999,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-110.49008,44.5813,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-103.830536,43.7308,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-103.382805,43.597206,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-72.53502,43.63345,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-100.23068,42.857754,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-99.70454,35.620792,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-96.83392,40.288,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-116.27802,45.794277,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-85.59478,34.446514,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-83.61097,32.836765,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-87.03243,41.661446,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-86.46695,46.513527,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-86.433334,35.873104,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-88.3395,35.143097,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-73.45585,41.257435,NA,observation,NA,https://bison.usgs.gov,Bison
Odocoileus virginianus,-64.74168,18.342949,NA,observation,NA,https://bison.usgs.gov,Bison
