species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Onychogalea fraenata (Gould, 1840)",141.19277,-33.199482,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",149.363253,-23.621811,2019,HUMAN_OBSERVATION,30154,iNaturalist,GBIF
"Onychogalea fraenata (Gould, 1840)",141.416933,-33.314651,2018,HUMAN_OBSERVATION,28984,iNaturalist,GBIF
"Onychogalea fraenata (Gould, 1840)",148.171685,-23.984966,2018,HUMAN_OBSERVATION,30133,iNaturalist,GBIF
"Onychogalea fraenata (Gould, 1840)",148.102956,-23.851437,2018,HUMAN_OBSERVATION,30133,iNaturalist,GBIF
"Onychogalea fraenata (Gould, 1840)",149.238419,-23.50733,2018,HUMAN_OBSERVATION,NA,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",148.054819,-23.881735,2016,HUMAN_OBSERVATION,30133,iNaturalist,GBIF
"Onychogalea fraenata (Gould, 1840)",141.072693,-33.224329,2014,HUMAN_OBSERVATION,50,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.133119,-33.222755,2014,HUMAN_OBSERVATION,50,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.169297,-33.215307,2014,HUMAN_OBSERVATION,NA,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.169297,-33.215307,2014,HUMAN_OBSERVATION,NA,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.169297,-33.215307,2014,HUMAN_OBSERVATION,NA,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.169297,-33.215307,2014,HUMAN_OBSERVATION,NA,NA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.078536,-33.390542,2014,HUMAN_OBSERVATION,28984,iNaturalist,GBIF
"Onychogalea fraenata (Gould, 1840)",144.774194,-24.883583,2011,HUMAN_OBSERVATION,50,Queensland Parks and Wildlife Service,GBIF
"Onychogalea fraenata (Gould, 1840)",141.190953,-33.159627,2010,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.142462,-33.202672,2010,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.133077,-33.125993,2010,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.143727,-33.1275,2010,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.19669,-33.134793,2010,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.16749,-33.19574,2010,PRESERVED_SPECIMEN,NA,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.155,-33.172,2010,HUMAN_OBSERVATION,3000,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.15321,-33.20616,2010,PRESERVED_SPECIMEN,NA,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.15321,-33.20616,2010,PRESERVED_SPECIMEN,NA,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.15321,-33.20616,2010,PRESERVED_SPECIMEN,NA,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.15321,-33.20616,2010,PRESERVED_SPECIMEN,NA,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.91916,-34.10694,2010,PRESERVED_SPECIMEN,10000,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.91916,-34.10694,2010,PRESERVED_SPECIMEN,10000,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.91916,-34.10694,2010,PRESERVED_SPECIMEN,10000,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.91916,-34.10694,2010,PRESERVED_SPECIMEN,10000,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.16563,-33.20768,2009,PRESERVED_SPECIMEN,NA,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",141.163061,-33.19645,2009,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.160513,-33.192475,2009,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.182302,-33.163563,2009,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.157919,-33.195909,2009,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.151342,-33.186849,2009,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.155385,-33.174821,2009,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.13406,-33.17322,2009,PRESERVED_SPECIMEN,NA,AM,GBIF
"Onychogalea fraenata (Gould, 1840)",144.763509,-24.824568,2009,HUMAN_OBSERVATION,500,"Department of National Parks, Sport and Racing",GBIF
"Onychogalea fraenata (Gould, 1840)",141.181249,-33.168011,2009,HUMAN_OBSERVATION,5,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",144.77805,-24.86366,2008,HUMAN_OBSERVATION,100,EcoSmart Ecology,GBIF
"Onychogalea fraenata (Gould, 1840)",141.142901,-33.183339,2008,HUMAN_OBSERVATION,15000,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.116289,-33.200577,2007,HUMAN_OBSERVATION,10000,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.155884,-33.184659,2006,HUMAN_OBSERVATION,10000,NSW Office of Environment and Heritage,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
"Onychogalea fraenata (Gould, 1840)",141.167069,-33.21484,2004,MATERIAL_SAMPLE,NA,SAMA,GBIF
