species,lon,lat,year,record,coordinate_uncertainty,institution,database
Ovis canadensis,-108.692535,39.050396,NA,observation,NA,https://bison.usgs.gov,Bison
Ovis canadensis,-107.8898,45.334873,NA,observation,NA,https://bison.usgs.gov,Bison
Ovis canadensis,-118.7214,47.908993,NA,observation,NA,https://bison.usgs.gov,Bison
Ovis canadensis,-116.27802,45.794277,NA,observation,NA,https://bison.usgs.gov,Bison
Ovis canadensis,-115.55701,35.099842,NA,observation,NA,https://bison.usgs.gov,Bison
"Ovis canadensis Shaw, 1804",-118.99859,34.593998,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.94346,32.334175,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-116.41662,33.672707,2016,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-112.06963,36.010246,2015,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-114.88364,35.864716,2018,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-103.01355,29.660475,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-118.15003,52.98502,2005,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-116.2874,33.630344,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-116.28648,33.62991,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-115.483185,51.270996,2001,observation,NA,http://www.inaturalist.org,Bison
Ovis canadensis,-110.68648,43.825954,NA,observation,NA,https://bison.usgs.gov,Bison
Ovis canadensis,-109.59546,38.707844,NA,observation,NA,https://bison.usgs.gov,Bison
"Ovis canadensis Shaw, 1804",-120.4764,46.999012,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-114.33599,34.27079,2018,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-102.23298,43.86923,2013,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-116.40369,33.626297,2018,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-111.52222,44.964798,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-120.4885,46.692467,2014,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-105.12402,39.455433,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-121.546074,51.279667,2014,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.32824,44.965916,2016,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.362564,46.87968,2015,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.362564,46.87968,2015,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-112.05126,36.161358,2012,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-105.68364,40.342793,2015,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-111.47004,33.45198,2018,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-109.631805,40.92557,2016,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-120.5835,46.892124,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-102.33969,43.85538,2016,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-115.99704,33.880733,2018,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-119.528656,44.31451,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-108.80688,47.692596,2013,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.554504,44.59192,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-117.24688,43.381832,2013,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-102.23351,43.869965,2013,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-102.104034,43.80779,2013,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-105.65453,40.309345,2010,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-113.74188,48.749172,2016,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-105.73306,40.412663,2014,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.50082,44.970363999999996,2000,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-116.10714,35.15451,2012,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-120.466995,46.95166,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-112.101204,36.172054,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-115.788605,51.01472,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-105.62429,36.528854,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-119.94904,46.88432,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-105.47119000000001,36.77902,2016,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.33231,44.807713,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-112.17297,40.819103,2018,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-116.42812,33.27393,2013,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-102.3693,43.783432,2011,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-110.47258,44.641926,2010,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-111.78036,36.97478,2011,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-117.63018,52.93852,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-116.41343,33.25644,2007,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-115.56407,51.14709,2017,observation,NA,http://www.inaturalist.org,Bison
"Ovis canadensis Shaw, 1804",-115.58535,51.34895,2017,observation,NA,http://www.inaturalist.org,Bison
