species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Pan troglodytes (Blumenbach, 1775)",-119.594444,34.43861,1930,specimen,NA,http://www.sbnature.org/,Bison
"Pan troglodytes (Blumenbach, 1775)",-120.03792,34.537247,NA,specimen,NA,http://www.sbnature.org/,Bison
"Pan troglodytes (Blumenbach, 1775)",-120.03792,34.537247,1927,specimen,NA,http://www.sbnature.org/,Bison
"Pan troglodytes (Blumenbach, 1775)",-119.594444,34.43861,1930,specimen,NA,http://www.sbnature.org/,Bison
"Pan troglodytes (Blumenbach, 1775)",-83.38421,42.66045,1980,specimen,NA,http://museum.msu.edu,Bison
"Pan troglodytes (Blumenbach, 1775)",-106.44204,31.769974,NA,specimen,NA,http://www.utep.edu,Bison
"Pan troglodytes (Blumenbach, 1775)",-83.38421,42.66045,1975,specimen,NA,http://museum.msu.edu,Bison
"Pan troglodytes (Blumenbach, 1775)",-121.191505,35.645,1935,specimen,NA,http://mvz.berkeley.edu,Bison
"Pan troglodytes (Blumenbach, 1775)",-122.44775,37.757095,1941,specimen,NA,http://mvz.berkeley.edu,Bison
"Pan troglodytes (Blumenbach, 1775)",-122.40316,37.787373,1941,specimen,NA,http://mvz.berkeley.edu,Bison
"Pan troglodytes (Blumenbach, 1775)",-74.07863,40.731384,1928,specimen,NA,http://www.amnh.org/our-research/vertebrate-zoology,Bison
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.569262,0.467593,2020,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.270206,0.282664,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.125671,-0.314893,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes verus Schwarz, 1934",-8.404896,7.702026,2019,HUMAN_OBSERVATION,31310,iNaturalist,GBIF
"Pan troglodytes verus Schwarz, 1934",-12.557621,10.838739,2019,HUMAN_OBSERVATION,31169,iNaturalist,GBIF
"Pan troglodytes verus Schwarz, 1934",-15.058694,11.307524,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Pan troglodytes verus Schwarz, 1934",-12.374459,12.224469,2019,HUMAN_OBSERVATION,31092,iNaturalist,GBIF
"Pan troglodytes (Blumenbach, 1775)",30.395613,0.438496,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.097966,-0.352078,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes (Blumenbach, 1775)",29.797252,4.132134,2019,HUMAN_OBSERVATION,31411,iNaturalist,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.409167,0.511805,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.364868,0.51701,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.228056,0.576736,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
Pan troglodytes troglodytes,15.301428,0.722419,2019,HUMAN_OBSERVATION,31450,iNaturalist,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.500659,0.423012,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
Pan troglodytes troglodytes,15.351932,0.407212,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.950676,13.642651,2018,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Pan troglodytes schweinfurthii (Giglioli, 1872)",30.313514,0.514034,2018,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Pan troglodytes (Blumenbach, 1775)",-106.663485,35.078382,2018,PRESERVED_SPECIMEN,500,MSB,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.144494,11.033091,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.146868,11.014526,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.136355,11.036709,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.1133,11.001552,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.1133,11.001552,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.098152,10.98961,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.09782,10.997285,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.125476,11.029109,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.109526,11.027901,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.110323,11.027984,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.115061,11.02813,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.136096,11.037431,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.111451,11.002746,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.136355,11.036709,2018,HUMAN_OBSERVATION,NA,GE,GBIF
"Pan troglodytes verus Schwarz, 1934",-14.146653,11.014373,2018,HUMAN_OBSERVATION,NA,GE,GBIF
