species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Panthera pardus (Linnaeus, 1758)",-5.9167,35.75,NA,fossil,NA,http://paleobiodb.org/,Bison
"Panthera pardus (Linnaeus, 1758)",-5.9167,35.75,NA,fossil,NA,http://paleobiodb.org/,Bison
"Panthera pardus (Linnaeus, 1758)",-5.9167,35.75,NA,fossil,NA,http://paleobiodb.org/,Bison
"Panthera pardus (Linnaeus, 1758)",-6.0814,34.4356,NA,fossil,NA,http://paleobiodb.org/,Bison
"Panthera pardus (Linnaeus, 1758)",-7.65,33.583332,NA,fossil,NA,http://paleobiodb.org/,Bison
"Panthera pardus (Linnaeus, 1758)",-35.05,32.716667,NA,fossil,NA,http://paleobiodb.org/,Bison
"Panthera pardus (Linnaeus, 1758)",-8.874444,31.869167,NA,fossil,NA,http://paleobiodb.org/,Bison
"Panthera pardus (Linnaeus, 1758)",-83.0833,40.1667,1994,observation,NA,NA,Bison
"Panthera pardus (Linnaeus, 1758)",-83.0833,40.1667,1996,observation,NA,NA,Bison
"Panthera pardus (Linnaeus, 1758)",-97,30,NA,specimen,NA,NA,Bison
"Panthera pardus (Linnaeus, 1758)",-81.99105,34.93324,NA,specimen,NA,http://www.naturalsciences.org,Bison
"Panthera pardus (Linnaeus, 1758)",-81.99105,34.93324,NA,specimen,NA,http://www.naturalsciences.org,Bison
"Panthera pardus (Linnaeus, 1758)",-81.99105,34.93324,NA,specimen,NA,http://www.naturalsciences.org,Bison
"Panthera pardus (Linnaeus, 1758)",-121.50306,38.539654,NA,specimen,NA,http://mvz.berkeley.edu,Bison
"Panthera pardus (Linnaeus, 1758)",-98.52015,29.448671,1988,specimen,NA,http://agrilife.org/tcwc/%20,Bison
"Panthera pardus (Linnaeus, 1758)",-84.37381,42.603535,NA,specimen,NA,http://museum.msu.edu,Bison
"Panthera pardus (Linnaeus, 1758)",-84.37381,42.603535,1963,specimen,NA,http://museum.msu.edu,Bison
"Panthera pardus (Linnaeus, 1758)",-83.01,39.97,1973,specimen,NA,NA,Bison
"Panthera pardus (Linnaeus, 1758)",-83.01,39.97,1973,specimen,NA,NA,Bison
"Panthera pardus (Linnaeus, 1758)",-96.77843,32.766987,NA,specimen,NA,http://www.depts.ttu.edu/museumttu/,Bison
"Panthera pardus (Linnaeus, 1758)",-98.4728,29.4556,1988,specimen,NA,http://www.depts.ttu.edu/museumttu/,Bison
Panthera pardus pardus,31.510843,-24.926052,2020,HUMAN_OBSERVATION,30025,iNaturalist,GBIF
"Panthera pardus (Linnaeus, 1758)",30.194462,-0.078596,2020,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
"Panthera pardus fusca (Meyer, 1794)",72.293238,25.462894,2020,HUMAN_OBSERVATION,46427,iNaturalist,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",81.43826,6.565526,2020,HUMAN_OBSERVATION,31350,iNaturalist,GBIF
"Panthera pardus fusca (Meyer, 1794)",76.309652,12.052363,2019,HUMAN_OBSERVATION,31104,iNaturalist,GBIF
Panthera pardus pardus,19.126246,-32.44788,2019,HUMAN_OBSERVATION,29093,iNaturalist,GBIF
Panthera pardus pardus,31.449174,-24.70981,2019,HUMAN_OBSERVATION,30047,iNaturalist,GBIF
"Panthera pardus (Linnaeus, 1758)",37.625,0.625,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Panthera pardus (Linnaeus, 1758)",37.625,0.625,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",81.499117,6.587544,2019,HUMAN_OBSERVATION,31350,iNaturalist,GBIF
"Panthera pardus fusca (Meyer, 1794)",76.033538,11.850555,2019,HUMAN_OBSERVATION,31115,iNaturalist,GBIF
Panthera pardus pardus,31.969371,-28.286326,2019,HUMAN_OBSERVATION,29631,iNaturalist,GBIF
Panthera pardus pardus,30.607062,-1.816549,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
Panthera pardus pardus,32.333307,-11.995481,2019,HUMAN_OBSERVATION,61551,iNaturalist,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",81.499515,6.207786,2019,HUMAN_OBSERVATION,31356,iNaturalist,GBIF
Panthera pardus pardus,34.882508,-1.51487,2019,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Panthera pardus pardus,34.902917,-7.680977,2019,HUMAN_OBSERVATION,31310,iNaturalist,GBIF
"Panthera pardus (Linnaeus, 1758)",19.622794,10.846935,2019,HUMAN_OBSERVATION,31169,iNaturalist,GBIF
Panthera pardus pardus,31.463978,-24.436911,2019,HUMAN_OBSERVATION,30069,iNaturalist,GBIF
Panthera pardus pardus,1.865217,11.373153,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
Panthera pardus pardus,1.880764,11.313657,2019,HUMAN_OBSERVATION,31148,iNaturalist,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",80.025032,8.332885,2019,HUMAN_OBSERVATION,31287,iNaturalist,GBIF
Panthera pardus pardus,29.123724,-22.160446,2019,HUMAN_OBSERVATION,30318,iNaturalist,GBIF
Panthera pardus pardus,22.995164,-19.258927,2019,HUMAN_OBSERVATION,30580,iNaturalist,GBIF
Panthera pardus pardus,25.172799,-17.808725,2019,HUMAN_OBSERVATION,30699,iNaturalist,GBIF
"Panthera pardus fusca (Meyer, 1794)",76.413885,26.055347,2019,HUMAN_OBSERVATION,29891,iNaturalist,GBIF
Panthera pardus pardus,34.954749,-2.492483,2019,HUMAN_OBSERVATION,31436,iNaturalist,GBIF
"Panthera pardus (Linnaeus, 1758)",34.697479,-2.028603,2019,HUMAN_OBSERVATION,98737,iNaturalist,GBIF
Panthera pardus pardus,17.585964,-29.93367,2019,HUMAN_OBSERVATION,29433,iNaturalist,GBIF
"Panthera pardus (Linnaeus, 1758)",76.558075,26.19692,2019,HUMAN_OBSERVATION,29891,iNaturalist,GBIF
Panthera pardus pardus,22.05185,-25.203264,2019,HUMAN_OBSERVATION,29981,iNaturalist,GBIF
"Panthera pardus (Linnaeus, 1758)",38.1639,-0.1173,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Panthera pardus (Linnaeus, 1758)",35.151847,-7.807923,2019,HUMAN_OBSERVATION,31302,iNaturalist,GBIF
Panthera pardus pardus,31.658508,-24.763626,2019,HUMAN_OBSERVATION,30047,iNaturalist,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",81.514557,6.769857,2019,HUMAN_OBSERVATION,31344,iNaturalist,GBIF
Panthera pardus pardus,31.644986,-24.450641,2019,HUMAN_OBSERVATION,30069,iNaturalist,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",80.003825,8.316806,2019,HUMAN_OBSERVATION,31287,iNaturalist,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",81.529367,6.336638,2019,HUMAN_OBSERVATION,31356,iNaturalist,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",81.5462,6.358965,2019,HUMAN_OBSERVATION,31356,iNaturalist,GBIF
Panthera pardus pardus,32.558716,-28.081504,2019,HUMAN_OBSERVATION,29656,iNaturalist,GBIF
Panthera pardus pardus,18.956804,-34.043743,2019,HUMAN_OBSERVATION,28874,iNaturalist,GBIF
Panthera pardus pardus,23.683147,-33.589253,2019,HUMAN_OBSERVATION,28957,iNaturalist,GBIF
Panthera pardus pardus,31.258651,-23.841582,2019,HUMAN_OBSERVATION,96985,iNaturalist,GBIF
Panthera pardus pardus,31.625944,-24.805478,2019,HUMAN_OBSERVATION,30025,iNaturalist,GBIF
Panthera pardus pardus,31.406125,-23.870975,2019,HUMAN_OBSERVATION,30133,iNaturalist,GBIF
"Panthera pardus (Linnaeus, 1758)",38.1294,-0.1789,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",80,8.4,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Panthera pardus (Linnaeus, 1758)",81.5,6.4,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Panthera pardus kotiya Deraniyagala, 1956",81.5,6.4,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Panthera pardus (Linnaeus, 1758)",81.5,6.6,2019,HUMAN_OBSERVATION,NA,NA,GBIF
Panthera pardus pardus,37.297955,-1.807508,2019,HUMAN_OBSERVATION,31442,iNaturalist,GBIF
Panthera pardus pardus,30.171199,-0.175111,2019,HUMAN_OBSERVATION,31451,iNaturalist,GBIF
Panthera pardus pardus,31.543731,-25.075315,2019,HUMAN_OBSERVATION,30003,iNaturalist,GBIF
Panthera pardus pardus,34.765301,-2.683919,2019,HUMAN_OBSERVATION,31434,iNaturalist,GBIF
Panthera pardus pardus,34.704252,-2.479556,2019,HUMAN_OBSERVATION,31436,iNaturalist,GBIF
Panthera pardus pardus,35.167349,-1.449967,2019,HUMAN_OBSERVATION,31446,iNaturalist,GBIF
Panthera pardus pardus,35.437575,-3.290061,2019,HUMAN_OBSERVATION,31425,iNaturalist,GBIF
