species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Papio cynocephalus (Linnaeus, 1766)",39.445153,-4.177208,2020,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",35.307312,-14.860062,2019,HUMAN_OBSERVATION,2000,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",25.145988,-17.823223,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Papio cynocephalus (Linnaeus, 1766)",22.462234,-17.982162,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Papio cynocephalus (Linnaeus, 1766)",39.417793,-4.231187,2019,HUMAN_OBSERVATION,8415,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",30.395613,0.438496,2019,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Papio cynocephalus (Linnaeus, 1766)",38.1848,0.1312,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Papio cynocephalus (Linnaeus, 1766)",33.640297,-10.711664,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Papio cynocephalus cynocephalus,34.842205,-7.789735,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
Papio cynocephalus cynocephalus,38.066097,-7.664443,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",35.520005,-16.018094,2019,HUMAN_OBSERVATION,812,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",37.223688,-2.606745,2019,HUMAN_OBSERVATION,17259,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",36.64997,-7.521407,2019,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",36.883908,-7.844618,2019,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",34.781632,-16.204658,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",37.375485,-2.728142,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",39.248834,-3.076769,2019,HUMAN_OBSERVATION,517,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",34.70675,-15.863975,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",34.706748,-15.863978,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",31.325954,-12.390947,2019,HUMAN_OBSERVATION,54,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",37.274115,-2.679667,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",37.274115,-2.679667,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Papio cynocephalus (Linnaeus, 1766)",37.260767,-2.652016,2019,HUMAN_OBSERVATION,193,iNaturalist,GBIF
