species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Phacochoerus aethiopicus (Pallas, 1766)",-83.0833,40.1667,1990,observation,NA,NA,Bison
"Phacochoerus aethiopicus (Pallas, 1766)",-83.0833,40.1667,1990,observation,NA,NA,Bison
"Phacochoerus aethiopicus (Pallas, 1766)",-71.02017,42.33196,1993,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Phacochoerus aethiopicus (Pallas, 1766)",38.845265,-3.347107,2019,HUMAN_OBSERVATION,3572,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.625,0.625,2019,HUMAN_OBSERVATION,12000,ADU-UCT,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",38.5858,-0.1723,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",38.1848,0.1312,2019,HUMAN_OBSERVATION,NA,NMK,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",38.211125,0.187877,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.479428,0.574863,2019,HUMAN_OBSERVATION,5486,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.62859,0.621446,2019,HUMAN_OBSERVATION,33,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.665586,0.604277,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.620624,0.609154,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.9554,-0.2295,2018,HUMAN_OBSERVATION,NA,NMK,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",38.382239,-0.071219,2018,HUMAN_OBSERVATION,1074,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",40.02442,-1.74944,2018,HUMAN_OBSERVATION,212,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",39.53044,-0.10996,2018,HUMAN_OBSERVATION,212,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",40.5292,-2.5266,2018,HUMAN_OBSERVATION,NA,NMK,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",38.19,-0.0881,2018,HUMAN_OBSERVATION,NA,NMK,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",36.6463,-0.4324,2018,HUMAN_OBSERVATION,NA,NMK,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",39.76347,7.09459,2017,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.546172,0.577295,2017,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",16.951202,-20.648636,2017,HUMAN_OBSERVATION,25,naturgucker,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.587759,0.610271,2017,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.622026,0.606443,2017,HUMAN_OBSERVATION,4,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",36.074047,-3.840019,2016,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Phacochoerus aethiopicus delamerei Lönnberg, 1909",37.322345,0.413375,2016,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Phacochoerus aethiopicus delamerei Lönnberg, 1909",37.537309,0.570838,2015,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.538397,0.615452,2014,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.9088,8.1715,2013,HUMAN_OBSERVATION,NA,Laboratory of forest Sciences (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.3856,7.203,2013,HUMAN_OBSERVATION,NA,Laboratory of forest Sciences (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",40.068656,-2.078156,2013,HUMAN_OBSERVATION,5943,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.5564,8.587,2012,HUMAN_OBSERVATION,NA,Laboratory of forest Sciences (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",37.533016,0.579332,2012,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",38.609734,-3.342064,2011,HUMAN_OBSERVATION,10000,NA,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",39.36264,-4.26561,2011,HUMAN_OBSERVATION,10000,NA,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.66,7.6,2011,UNKNOWN,NA,"Centre d�Etudes, de Recherches et de Formation foresti�res",GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.25,9.66,2011,UNKNOWN,NA,"Centre d�Etudes, de Recherches et de Formation foresti�res",GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",17.920826,-25.435194,2010,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",44.23439,9.628913,2010,HUMAN_OBSERVATION,4191,iNaturalist,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.975931,7.92759,2009,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",3.405493,11.405493,2009,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.511147,9.866246,2009,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",3.191864,12.076329,2008,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.603764,11.243179,2008,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.663442,6.992886,2008,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.663442,6.992886,2008,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.118633,6.74778,2007,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.587198,8.678401,2007,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.184746,8.955147,2007,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.66982,6.96319,2007,HUMAN_OBSERVATION,NA,LEA,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.66982,6.96319,2007,HUMAN_OBSERVATION,NA,LEA,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.66982,6.96319,2007,HUMAN_OBSERVATION,NA,LEA,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.66982,6.96319,2007,HUMAN_OBSERVATION,NA,LEA,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",40.0334,-1.3993,2006,HUMAN_OBSERVATION,NA,NMK,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",31.52207,-25.09963,2006,OBSERVATION,10000,DABUH,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",31.26482,-24.36363,2006,OBSERVATION,5000,DABUH,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.683756,10.363966,2006,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.130028,7.065248,2006,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.130028,7.065248,2006,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",40.192108,9.043784,2005,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",3.101978,11.121374,2005,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.784952,6.615757,2005,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.93705,11.135399,2005,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",3.118761,10.53225,2004,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.549487,9.266933,2004,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.03212,8.756808,2004,HUMAN_OBSERVATION,NA,Laboratoire des Sciences Forestières (LSF/UAC),GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",2.33,10.75,2004,UNKNOWN,NA,"Centre d�Etudes, de Recherches et de Formation foresti�res",GBIF
"Phacochoerus aethiopicus (Pallas, 1766)",1.8666,10.3166,2004,UNKNOWN,NA,"Centre d�Etudes, de Recherches et de Formation foresti�res",GBIF
