species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Phascolarctos cinereus (Goldfuss, 1817)",144.98053,20.40278,2018,observation,NA,http://cs.ala.org.au,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-83.0833,40.1667,1994,observation,NA,NA,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-83.0833,40.1667,1994,observation,NA,NA,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-83.0833,40.1667,1996,observation,NA,NA,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-106.66348,35.07838,2000,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-106.66348,35.07838,2014,specimen,NA,http://www.msb.unm.edu/herpetology,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-90.37316,38.72874,2015,observation,NA,http://www.naturkundemuseum-berlin.de,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-117.13623,32.782658,1980,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-117.13623,32.782658,NA,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Phascolarctos cinereus (Goldfuss, 1817)",-122.502625,37.73276,2013,specimen,NA,http://mvz.berkeley.edu,Bison
Phascolarctos cinereus,152.1768398,-32.6748709,2013,HumanObservation,30,NA,ALA
Phascolarctos cinereus,153.34944,-28.26692,2016,HumanObservation,350,NA,ALA
Phascolarctos cinereus,152.036323164,-32.732208955,NA,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,152.89173,-28.169119,NA,HumanObservation,NA,NA,ALA
Phascolarctos cinereus,150.153016228,-34.502311837,2015,HumanObservation,50,NA,ALA
Phascolarctos cinereus,150.541610329,-34.380511906,2015,HumanObservation,50,NA,ALA
Phascolarctos cinereus,152.0046,-32.72926,2007,HumanObservation,30,NA,ALA
Phascolarctos cinereus,153.6098579,-28.6595898,2017,HumanObservation,30,NA,ALA
Phascolarctos cinereus,152.033160791,-32.728576484,NA,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,152.943753997,-30.126908588,2003,HumanObservation,100,NA,ALA
Phascolarctos cinereus,152.01579,-32.72479,2012,HumanObservation,30,NA,ALA
Phascolarctos cinereus,145.2911,-38.4783,1986,HumanObservation,900,NA,ALA
Phascolarctos cinereus,152.291391627,-31.947141041,NA,HumanObservation,10000,NA,ALA
Phascolarctos cinereus,150.030527,-30.897732,2013,HumanObservation,NA,NA,ALA
Phascolarctos cinereus,152.1811243,-32.6758717,2007,HumanObservation,30,NA,ALA
Phascolarctos cinereus,153.516491291,-28.588573035,2003,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.3004902,-28.8265805,2012,HumanObservation,500,NA,ALA
Phascolarctos cinereus,145.1779,-38.3864,1997,HumanObservation,100,NA,ALA
Phascolarctos cinereus,141.6789,-38.0463,2002,HumanObservation,100,NA,ALA
Phascolarctos cinereus,152.88630907,-31.43541428,2001,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.2981022,-28.6422883,2011,HumanObservation,30,NA,ALA
Phascolarctos cinereus,153.347799,-28.716254,2013,HumanObservation,NA,NA,ALA
Phascolarctos cinereus,152.17449,-32.66917,2012,HumanObservation,30,NA,ALA
Phascolarctos cinereus,140.92884,-37.96988,2005,HumanObservation,500,NA,ALA
Phascolarctos cinereus,150.79235481,-34.19121575,2017,HumanObservation,50,NA,ALA
Phascolarctos cinereus,152.1793643,-32.6752257,2007,HumanObservation,30,NA,ALA
Phascolarctos cinereus,150.23524356,-30.98724699,NA,HumanObservation,10000,NA,ALA
Phascolarctos cinereus,153.515421361,-28.590266092,2007,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,138.8161747222,-34.9818597222,2019,HumanObservation,28762,NA,ALA
Phascolarctos cinereus,152.9875793,-29.77263998,1998,HumanObservation,100,NA,ALA
Phascolarctos cinereus,152.579286918,-30.179533761,2004,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.0558317899704,-27.550646970567445,2019,HumanObservation,NA,NA,ALA
Phascolarctos cinereus,145.2386,-37.7196,1987,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.3058293,-28.8906818,2013,HumanObservation,250,NA,ALA
Phascolarctos cinereus,152.815070273,-31.632945131,NA,HumanObservation,10000,NA,ALA
Phascolarctos cinereus,146.9163,-38.3195,2008,HumanObservation,100,NA,ALA
Phascolarctos cinereus,150.161298407,-34.490227373,2016,HumanObservation,50,NA,ALA
Phascolarctos cinereus,152.9093,-31.4682,2009,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.516491291,-28.588573035,1997,HumanObservation,100,NA,ALA
Phascolarctos cinereus,150.798140365,-34.197378623,2017,HumanObservation,50,NA,ALA
Phascolarctos cinereus,150.832276876,-34.10085522,2000,HumanObservation,2000,NA,ALA
Phascolarctos cinereus,152.999927475,-30.395245733,2013,HumanObservation,10,NA,ALA
Phascolarctos cinereus,152.773972511,-30.159863124,2006,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.406713455,-29.117771886,NA,HumanObservation,10000,NA,ALA
Phascolarctos cinereus,150.799302585,-34.18689565,2017,HumanObservation,50,NA,ALA
Phascolarctos cinereus,145.3435,-37.5417,2004,HumanObservation,100,NA,ALA
Phascolarctos cinereus,152.924529385,-31.460868157,1994,HumanObservation,100,NA,ALA
Phascolarctos cinereus,150.64306573,-34.42283476,1976,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.3211067,-28.8178131,2014,HumanObservation,30,NA,ALA
Phascolarctos cinereus,152.91313,-31.44311,2009,HumanObservation,100,NA,ALA
Phascolarctos cinereus,150.10173832,-34.82655473,2002,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,153.516491291,-28.588573035,2002,HumanObservation,100,NA,ALA
Phascolarctos cinereus,153.05674105882642,-27.551648126206985,2019,HumanObservation,NA,NA,ALA
Phascolarctos cinereus,151.807253925,-32.704079945,1988,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,152.84594919,-30.28699261,2006,HumanObservation,100,NA,ALA
Phascolarctos cinereus,151.867622961,-32.738915907,1984,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,153.4366331,-28.5740496,2015,HumanObservation,30,NA,ALA
Phascolarctos cinereus,150.848715751,-34.080857468,1999,HumanObservation,100,NA,ALA
Phascolarctos cinereus,145.6872,-36.8493,1996,HumanObservation,100,NA,ALA
Phascolarctos cinereus,152.067,-32.757,2015,HumanObservation,5,NA,ALA
Phascolarctos cinereus,148.957225822,-30.664065122,2002,HumanObservation,10,NA,ALA
Phascolarctos cinereus,153.023362926,-30.509100098,NA,HumanObservation,10000,NA,ALA
Phascolarctos cinereus,152.905726918,-31.453592522,1997,HumanObservation,100,NA,ALA
Phascolarctos cinereus,137.01072,-35.93273,2005,HumanObservation,50,NA,ALA
Phascolarctos cinereus,152.729631628,-29.541504426,1994,HumanObservation,100,NA,ALA
Phascolarctos cinereus,152.914449326,-31.440861992,2017,HumanObservation,100,NA,ALA
Phascolarctos cinereus,152.023537519,-32.730305886,NA,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,153.0541197,-28.9520563,NA,HumanObservation,30,NA,ALA
Phascolarctos cinereus,150.735154829,-34.251580577,2017,HumanObservation,50,NA,ALA
Phascolarctos cinereus,152.198868039,-32.261985651,2014,HumanObservation,10,NA,ALA
Phascolarctos cinereus,152.817188,-26.745862,2014,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,151.8383302,-32.7756295,NA,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,153.301408217,-28.824697816,1995,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,152.825598887,-30.440059454,NA,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,148.395050502,-32.957948722,2003,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,152.919492258,-31.442982323,1990,HumanObservation,100,NA,ALA
Phascolarctos cinereus,151.92261443,-32.78089318,1989,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,152.921000685,-31.463879568,1984,HumanObservation,100,NA,ALA
Phascolarctos cinereus,150.803705286,-34.154067373,2015,HumanObservation,15,NA,ALA
Phascolarctos cinereus,153.52366493,-28.8912476,NA,HumanObservation,10000,NA,ALA
Phascolarctos cinereus,151.712804955,-32.817696413,1986,HumanObservation,1000,NA,ALA
Phascolarctos cinereus,152.0859291,-32.7284189,2013,HumanObservation,10,NA,ALA
Phascolarctos cinereus,138.768353,-34.969739,2012,HumanObservation,NA,NA,ALA
Phascolarctos cinereus,152.925164923,-31.442615836,2003,HumanObservation,100,NA,ALA
