species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Phocarctos hookeri (Gray, 1844)",-70.6047,43.0049,2007,observation,NA,http://www.diveboard.com,Bison
"Phocarctos hookeri (Gray, 1844)",170.620517,-45.660935,2020,HUMAN_OBSERVATION,27126,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.765208,-45.929987,2020,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.731959,-45.866549,2020,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.635868,-45.768613,2020,HUMAN_OBSERVATION,27126,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",167.727014,-46.948106,2020,HUMAN_OBSERVATION,26935,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.056911,-46.891392,2020,HUMAN_OBSERVATION,26935,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.691049,-45.83078,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.781085,-45.888173,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.757068,-46.419587,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.539992,-46.44623,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.679402,-46.490491,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.73697,-46.468535,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.749628,-45.926701,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.089751,-46.965453,2019,HUMAN_OBSERVATION,26935,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.026439,-46.959894,2019,HUMAN_OBSERVATION,26935,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.697805,-45.997666,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.1,-46.9,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Phocarctos hookeri (Gray, 1844)",170.686974,-45.66114,2019,HUMAN_OBSERVATION,27126,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.834734,-46.778578,2019,HUMAN_OBSERVATION,26967,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.126452,-46.04829,2019,HUMAN_OBSERVATION,27063,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.764762,-46.448955,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.087439,-46.978229,2019,HUMAN_OBSERVATION,26935,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.622558,-45.866199,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.676417,-46.420968,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.728579,-45.995395,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.450936,-45.843984,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.539496,-45.840526,2019,HUMAN_OBSERVATION,44615,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.416592,-45.82899,2019,HUMAN_OBSERVATION,44615,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.561832,-45.956172,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.8,-46.7,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Phocarctos hookeri (Gray, 1844)",168.1,-46.9,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Phocarctos hookeri (Gray, 1844)",170.4159,-45.892134,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.423953,-45.822443,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.465715,-45.997803,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.499362,-46.596293,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.67711,-45.892635,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.052736,-46.948912,2019,HUMAN_OBSERVATION,26935,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.065347,-46.886374000000004,2019,HUMAN_OBSERVATION,26935,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.425343,-46.557299,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.79187,-45.804067,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.674451,-45.601974,2019,HUMAN_OBSERVATION,27126,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.731649,-45.980093,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.730795,-45.95443,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",168.88878,-46.611675,2019,HUMAN_OBSERVATION,26967,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.844537,-45.437899,2019,HUMAN_OBSERVATION,27158,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.613566,-46.566768,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.612145,-46.548176,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.64851,-46.511919,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.710259,-46.567973,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.790011,-45.928183,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.762611,-45.846568,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.786324,-45.924642,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.797001,-46.530277,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.68886,-45.824271,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.776009,-45.869269,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.670788,-45.875237,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.704361,-45.861461,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.629107,-45.860734,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.75566,-45.930922,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.690673,-45.636484,2019,HUMAN_OBSERVATION,27126,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.695465,-45.63377,2019,HUMAN_OBSERVATION,27126,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.659036,-45.950304,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.762079,-45.942259,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.743089,-45.906341,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.633237,-45.907281,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.710095,-45.668907,2019,HUMAN_OBSERVATION,27126,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.650522,-45.942989,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.184799,-46.694576,2019,HUMAN_OBSERVATION,26967,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.413764,-45.893401,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.708594,-45.947091,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.686683,-45.907342,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.747411,-45.899881,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.42068,-46.411419,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.704225,-45.970278,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.654603,-45.864396,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.649685,-45.846962,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.625049,-45.971951,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.624987,-45.856107,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.750652,-45.958502,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.627365,-45.921004,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.742824,-46.454466,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.775179,-46.449963,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.688918,-46.594381,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.733749,-46.469934,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",169.610287,-46.511819,2019,HUMAN_OBSERVATION,26999,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.787602,-45.800648,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.731707,-45.829804,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.791137,-45.925856,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
"Phocarctos hookeri (Gray, 1844)",170.679583,-45.872802,2019,HUMAN_OBSERVATION,27095,iNaturalist,GBIF
