species,lon,lat,year,record,coordinate_uncertainty,institution,database
Physeter catodon,-70.005264,41.959053,NA,observation,NA,https://bison.usgs.gov,Bison
"Physeter catodon Linnaeus, 1758",-94,29,1989,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-74,38.42,1985,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-177.329,51.9417,1986,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.1,37.65,1962,specimen,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-122.2,36.08,1997,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter macrocephalus Linnaeus, 1758",-68.07349,42.00813,2006,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-67.17775,42.20658,2006,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-67.95425,41.99632,2008,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-74.58906,35.34708,2005,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-74.0333,35.8295,1998,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-74.3322,35.9225,1998,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-74.3225,35.9207,1998,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-74.1853,35.8775,1998,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-74.71576,35.17998,1998,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-75.22588,34.84088,1997,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-74.79906,34.87998,2005,observation,NA,http://www.usgs.gov/,Bison
"Physeter macrocephalus Linnaeus, 1758",-63.23,42.77,1967,observation,NA,http://www.iobis.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-136.10094,56.859135,2017,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-120.428566,33.14931,2009,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-177.14581,52.257854,2016,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-175.88104,52.347343,2016,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-122.58772,37.758625,2015,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-118.18924,33.58805,2016,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-118.0522,33.529385,2016,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-118.07287,33.456284,2016,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-118.172554,33.45618,2016,observation,NA,http://www.inaturalist.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-118.04647,33.49499,2016,observation,NA,http://www.inaturalist.org,Bison
Physeter macrocephalus,-80.21737,25.471243,NA,observation,NA,https://bison.usgs.gov,Bison
Physeter catodon,-73.86086,40.618656,NA,observation,NA,https://bison.usgs.gov,Bison
Physeter catodon,-72.994354,40.69183,NA,observation,NA,https://bison.usgs.gov,Bison
Physeter macrocephalus,-88.53844,30.220842,NA,observation,NA,https://bison.usgs.gov,Bison
"Physeter catodon Linnaeus, 1758",-122.311386,37.82735,1989,specimen,NA,http://www.calacademy.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-65.4,44.85,NA,unknown,NA,http://www.iobis.org,Bison
"Physeter macrocephalus Linnaeus, 1758",-174.13475,52.707115,2013,specimen,NA,http://www.uaf.edu/museum/,Bison
"Physeter catodon Linnaeus, 1758",-94,29,1989,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.42,37.5,1961,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-112.75,29.13,1976,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.1,37.65,1962,specimen,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.83,37.67,1962,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-179.5,51,1947,specimen,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-80.53,24,1986,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-69,39,1979,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-157.72,21,1976,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.83,37.67,1962,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.83,37.67,1962,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-147,59,1992,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-122.67,37,1961,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-12.67,43.98,1979,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.48,37.57,1961,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-80.1317,28.7683,1980,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-76.83,31.68,1984,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.42,37.5,1961,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-76.32,34.33,1982,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-123.42,37.5,1961,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-122.67,37,1961,observation,NA,http://www.nmnh.si.edu/,Bison
"Physeter catodon Linnaeus, 1758",-174.08,52.75,1976,observation,NA,http://www.nmnh.si.edu/,Bison
