species,lon,lat,year,record,coordinate_uncertainty,institution,database
Procyon lotor,-117.225174,33.477146,2000,observation,NA,https://bison.usgs.gov,Bison
Procyon lotor,-116.82274,32.67882,2007,observation,NA,https://bison.usgs.gov,Bison
"Procyon lotor (Linnaeus, 1758)",-79.92765,43.933445,2014,observation,NA,http://www.rom.on.ca,Bison
"Procyon lotor (Linnaeus, 1758)",-98.2348,30.5738,2013,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-101.88215,33.608715,2017,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-82.78,29.96,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-84.15,30.26,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-82.05,28.76,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-82.73,29.32,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-82.48,29.41,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-80.39,27.63,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
Procyon lotor,-117.16199,33.44117,2000,observation,NA,https://bison.usgs.gov,Bison
"Procyon lotor (Linnaeus, 1758)",-80.4,27.65,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-97.719284,30.24035,2014,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-80.39,27.63,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-97.75046,30.402542,2015,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-80.4,27.65,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-122.1623,37.39181,2014,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-80.39,27.63,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-83.0254,29.1729,2014,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-80.4,27.65,1917,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-122.514046,47.74378,2014,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-80.39,27.63,NA,fossil,NA,http://www.flmnh.ufl.edu,Bison
"Procyon lotor (Linnaeus, 1758)",-75.15487,40.240467,2014,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-80.90096,26.418657,2014,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-79.38,43.67,1993,unknown,NA,http://www.ebi.ac.uk/,Bison
"Procyon lotor (Linnaeus, 1758)",-122.14147,38.02081,2014,observation,NA,http://www.inaturalist.org,Bison
"Procyon lotor (Linnaeus, 1758)",-79.5578,35.742718000000004,2014,observation,NA,http://www.inaturalist.org,Bison
