species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Propithecus edwardsi Grandidier, 1871",47.421279,-21.343752,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.557725,-21.201327,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.466509,-21.379171,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.458327,-21.240991,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.409777,-21.356011,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.546756,-21.212009,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.558363,-21.217463,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.53875,-21.370197,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.514304,-21.281379,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.434073,-21.242072,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.408058,-21.381169,2019,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.213979,-21.351736,2018,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.228932,-21.327779,2018,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.502763,-21.253605,2018,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.4,-21.2,2018,HUMAN_OBSERVATION,NA,NA,GBIF
"Propithecus edwardsi Grandidier, 1871",47.304784,-21.346559,2018,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.25966,-21.385871,2018,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.516586,-21.243698,2018,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.450259,-21.220204,2017,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.266875,-21.250494,2017,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.537003,-21.316267,2017,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.345323,-21.29142,2017,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.263769,-21.265021,2016,HUMAN_OBSERVATION,30406,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.319452,-21.324436,2016,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.225575,-21.209883,2016,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.431836,-21.211105,2016,HUMAN_OBSERVATION,30406,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.38239,-21.236224,2016,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.319004,-21.302283,2016,HUMAN_OBSERVATION,30406,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.526267,-21.283631,2016,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.573427,-21.29837,2015,HUMAN_OBSERVATION,30406,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.540633,-21.367757,2015,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.358905,-21.317557,2014,HUMAN_OBSERVATION,30406,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.411318,-21.488715,2014,HUMAN_OBSERVATION,30377,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.307548,-21.113087,2014,HUMAN_OBSERVATION,30415,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.306209,-21.276527,2013,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.286386,-21.310189,2011,HUMAN_OBSERVATION,49643,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.426006,-21.275135,2010,HUMAN_OBSERVATION,30396,iNaturalist,GBIF
"Propithecus edwardsi Grandidier, 1871",47.45,-21.35,2000,MACHINE_OBSERVATION,NA,CLO,GBIF
"Propithecus edwardsi Grandidier, 1871",47.45,-21.45,2000,MACHINE_OBSERVATION,NA,CLO,GBIF
"Propithecus edwardsi Grandidier, 1871",47.45,-21.35,2000,MACHINE_OBSERVATION,NA,CLO,GBIF
