species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Propithecus verreauxi Grandidier, 1867",44.641796,-22.846192,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",44.656462,-22.998156,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",45.379366,-22.403618,2019,HUMAN_OBSERVATION,30278,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",45.282103,-22.462355,2019,HUMAN_OBSERVATION,30278,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",44.738929,-22.911517,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.217076,-25.030845,2019,HUMAN_OBSERVATION,30003,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.367088,-25.166719,2019,HUMAN_OBSERVATION,30003,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.22913,-24.975195,2019,HUMAN_OBSERVATION,30025,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",44.620058,-22.987387,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",44.786708,-22.875794,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",44.688133,-22.887049,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",44.774508,-22.829807,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",44.714645,-22.870933,2019,HUMAN_OBSERVATION,30237,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",45.266825,-22.440550000000002,2019,HUMAN_OBSERVATION,30278,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.394445,-25.092314,2019,HUMAN_OBSERVATION,30003,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.3247,-25.119333,2019,HUMAN_OBSERVATION,30003,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.95373,-24.838058,2019,HUMAN_OBSERVATION,30025,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.938687,-24.804235,2019,HUMAN_OBSERVATION,30025,iNaturalist,GBIF
"Propithecus verreauxi Grandidier, 1867",46.209812,-25.101734,2019,HUMAN_OBSERVATION,30003,iNaturalist,GBIF
