species,lon,lat,year,record,coordinate_uncertainty,institution,database
Felis concolor,-103.97104,36.78171,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-121.3476,48.832775,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-103.22985,29.297775,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-107.8898,45.334873,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-100.23068,42.857754,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-107.167915,38.46276,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-97.26596,42.856743,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-105.6914,35.550365,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-101.29594,29.57479,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-103.382805,43.597206,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-103.89611,30.599342,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-122.87971,38.055004,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-108.27329,33.227608,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-104.60627,32.123074,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-103.45967,46.952206,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-121.412125,40.486176,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-102.644936,43.61369,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-108.35521,35.038982,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-105.69839,40.355568,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.13899,36.567554,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-108.59056,40.46058,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-109.340385,36.09426,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-106.09276,34.25992,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-108.692535,39.050396,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-109.59546,38.707844,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-104.70754,44.590176,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-118.720345,34.080303,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-109.4562,32.151585,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-109.88398,38.271763,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-107.89028,34.914925,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-122.13384,42.9405,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-103.45899,43.880333,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-105.29536,38.915173,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-104.88434,31.924046,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-119.08739,37.615253,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-109.07299,37.38536,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-121.80302,46.865612,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-109.67472,34.988644,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-119.63123,44.547043,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-110.00718,37.598885,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-103.830536,43.7308,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-122.55147,37.86264,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-106.30481,35.755844,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-118.7214,47.908993,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-108.50093,37.223484,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-122.6024,40.613472,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-109.345406,32.010994,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-106.31617,32.7751,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-119.54041,37.839916,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-107.95876,36.05278,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-121.18075,36.490128,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-108.68595,37.248955,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-118.47853,36.634453,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-107.6712,38.550797,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-92.918106,35.968643,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-113.045715,37.279377,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-83.52819,35.57156,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-124.00483,41.27686,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-111.7094,40.440395,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-124.067635,46.286182,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-110.80358,37.39761,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-135.83873,58.447323,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-113.71318,42.06973,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-112.032,34.77205,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-113.44162,43.282867,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-110.68648,43.825954,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-112.18271,37.583897,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-112.4949,41.63074,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-111.84214,34.612377,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-112.19586,36.18651,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-111.10704,33.65206,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-115.55701,35.099842,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-110.49008,44.5813,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-110.67885,32.178642,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-114.650635,35.71473,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-111.49503,35.161224,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-113.85875,48.746796,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-116.15902,33.980854,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-113.70001,36.40001,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-111.337074,35.546726,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-112.84527,37.63545,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-110.762474,41.856342,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-111.283775,38.383545,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-113.651215,45.64699,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-112.846634,32.044743,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-111.510376,35.371142999999996,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-110.53617,36.683575,NA,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-114.30105,38.96526,NA,observation,NA,https://bison.usgs.gov,Bison
"Puma concolor (Linnaeus, 1771)",-103.065865,30.422836,1992,specimen,NA,http://www.angelo.edu/dept/biology/asnhc/,Bison
"Puma concolor (Linnaeus, 1771)",-116.47017,32.90768,2017,observation,NA,http://www.inaturalist.org,Bison
"Puma concolor (Linnaeus, 1771)",-74.44863,42.057137,NA,specimen,NA,NA,Bison
"Puma concolor (Linnaeus, 1771)",-116.8,43.6,NA,fossil,NA,http://msi.ucsb.edu,Bison
"Puma concolor (Linnaeus, 1771)",-116.48178,33.154915,2017,observation,NA,http://www.inaturalist.org,Bison
Puma concolor,-117.73454,33.83348,2003,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.72221,33.83118,2003,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.17081,33.456223,2000,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.723526,33.832546,2003,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.723526,33.832546,2003,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.17326,33.455418,2000,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.32839,33.503242,1999,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.172165,33.456593,2000,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.32839,33.503242,2000,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.32951,33.50116,1999,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.173706,33.44278,1999,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-116.82633,32.69399,2007,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.72539,33.79131,2003,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.17408,33.440998,1999,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.17081,33.456223,2000,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.71862,33.78779,2003,observation,NA,https://bison.usgs.gov,Bison
Puma concolor,-117.74042,33.82858,2003,observation,NA,https://bison.usgs.gov,Bison
"Puma concolor (Linnaeus, 1771)",-122.515625,38.408234,2018,observation,NA,http://www.inaturalist.org,Bison
"Puma concolor (Linnaeus, 1771)",-84.83,34.15,NA,fossil,NA,http://msi.ucsb.edu,Bison
"Puma concolor (Linnaeus, 1771)",-117.1,32.9,NA,fossil,NA,http://msi.ucsb.edu,Bison
"Puma concolor (Linnaeus, 1771)",-123.92582,40.706673,1975,specimen,NA,http://www.humboldt.edu,Bison
"Puma concolor (Linnaeus, 1771)",-105.12336,36.86515,2014,observation,NA,http://www.inaturalist.org,Bison
"Puma concolor (Linnaeus, 1771)",-121.81577,48.49329,1992,specimen,NA,http://www.sci.wsu.edu/cm/,Bison
"Puma concolor (Linnaeus, 1771)",-105.12416,36.86186,2014,observation,NA,http://www.inaturalist.org,Bison
"Puma concolor (Linnaeus, 1771)",-121.83642999999999,48.84265,1942,specimen,NA,http://www.sci.wsu.edu/cm/,Bison
"Puma concolor (Linnaeus, 1771)",-105.12362,36.864372,2014,observation,NA,http://www.inaturalist.org,Bison
"Puma concolor (Linnaeus, 1771)",-91.52996,31.321173,NA,specimen,NA,http://appl003.lsu.edu/natsci/lmns.nsf/index,Bison
"Puma concolor (Linnaeus, 1771)",-121.81577,48.49329,1993,specimen,NA,http://www.sci.wsu.edu/cm/,Bison
"Puma concolor (Linnaeus, 1771)",-116.46183,33.536167,2013,observation,NA,http://www.inaturalist.org,Bison
