species,lon,lat,year,record,coordinate_uncertainty,institution,database
Rangifer tarandus,-157.93,70.59,2005,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-157.92,70.83,1996,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-157.88,70.13,1993,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-157.88,70.24,1996,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-157.87,70.17,1994,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-157.87,70.52,2006,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-157.87,70.85,1994,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-157.85,70.51,1994,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-141.95,62.59,2008,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-141.95,62.59,2008,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-165.15,66.26,2007,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.76,70.35,2003,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.76,70.46,1994,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.76,70.73,1998,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.75,70.12,2005,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.75,70.35,2003,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.75,70.56,2002,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.75,70.56,2002,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.35,2003,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.39,2002,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.45,2001,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.45,2001,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.72,1994,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.72,1994,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.73,2006,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.73,2006,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.75,2000,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.74,70.75,2000,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.73,70.4,1995,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.73,70.53,1996,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.73,70.63,1995,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.72,69.94,2001,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.72,70.4,1995,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.72,70.46,1994,observation,NA,https://bison.usgs.gov,Bison
Rangifer tarandus,-152.72,70.55,1994,observation,NA,https://bison.usgs.gov,Bison
