species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Saguinus fuscicollis (Spix, 1823)",-78.118655,-1.445444,2019,HUMAN_OBSERVATION,526,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-77.530027,-1.161064,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-77.525083,-1.120413,2019,HUMAN_OBSERVATION,31448,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-77.816035,-0.991107,2019,HUMAN_OBSERVATION,21,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-77.815698,-0.993554,2019,HUMAN_OBSERVATION,33,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-77.815403,-0.993735,2019,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-77.993335,-1.495369,2019,HUMAN_OBSERVATION,122,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-77.264595,-0.878297,2019,HUMAN_OBSERVATION,65,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-73.789905,-4.922213,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-70.100271,-12.565832,2019,HUMAN_OBSERVATION,615,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-72.911739,-7.451084,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-72.849317,-3.44405,2019,HUMAN_OBSERVATION,626,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-75.397605,-0.61768,2019,HUMAN_OBSERVATION,36876,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-70.09982,-12.569507,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Saguinus fuscicollis (Spix, 1823)",-76.628047,1.100118,2019,HUMAN_OBSERVATION,88,iNaturalist,GBIF
