species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Saguinus imperator (Goeldi, 1907)",-122.502625,37.73276,2015,specimen,NA,http://mvz.berkeley.edu,Bison
"Saguinus imperator subgrisescens (Lönnberg, 1940)",-70.100044,-12.569361,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-67.864018,-9.958268,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-70.100111,-12.569004,2019,HUMAN_OBSERVATION,209,iNaturalist,GBIF
Saguinus imperator imperator,-67.871036,-9.95576,2018,HUMAN_OBSERVATION,15,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-67.671102,-9.744291,2018,HUMAN_OBSERVATION,488,iNaturalist,GBIF
Saguinus imperator imperator,-67.672326,-9.751125,2018,HUMAN_OBSERVATION,244,iNaturalist,GBIF
Saguinus imperator imperator,-68.192223,-9.980896,2018,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.403795,-11.886392,2018,HUMAN_OBSERVATION,5,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-70.09883,-12.564123,2017,HUMAN_OBSERVATION,680,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-67.672378,-9.750913,2017,HUMAN_OBSERVATION,15,iNaturalist,GBIF
Saguinus imperator imperator,-67.672371,-9.750882,2017,HUMAN_OBSERVATION,8,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-68.205104,-9.998429,2016,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-70.72238,-12.33664,2016,HUMAN_OBSERVATION,5000,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-67.8733,-9.952253,2016,HUMAN_OBSERVATION,99,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-122.50262827384624,37.73276145683774,2015,PRESERVED_SPECIMEN,457.2,MVZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-67.829407,-9.946793,2015,HUMAN_OBSERVATION,625,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-70.096319,-12.564713,2014,HUMAN_OBSERVATION,634,iNaturalist,GBIF
Saguinus imperator imperator,-67.86382,-9.954971,2014,HUMAN_OBSERVATION,210,iNaturalist,GBIF
"Saguinus imperator subgrisescens (Lönnberg, 1940)",-70.077635,-12.550169,2011,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-70.093742,-12.567052,2008,HUMAN_OBSERVATION,1106,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-67.86286,-9.953465,2007,HUMAN_OBSERVATION,210,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-70.097536,-12.561632,2001,HUMAN_OBSERVATION,1000,iNaturalist,GBIF
"Saguinus imperator (Goeldi, 1907)",-70.7,-12.35,1997,MACHINE_OBSERVATION,NA,CLO,GBIF
"Saguinus imperator (Goeldi, 1907)",-68.7,-12.517,1996,HUMAN_OBSERVATION,NA,Conservation International,GBIF
"Saguinus imperator (Goeldi, 1907)",-72.783333,-8.666667,1992,PRESERVED_SPECIMEN,500,MVZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-72.8,-8.566667,1992,PRESERVED_SPECIMEN,500,MVZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-72.8,-8.566667,1992,PRESERVED_SPECIMEN,500,MVZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.089097,-12.121403,1991,MACHINE_OBSERVATION,NA,CLO,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.409,-11.885,1982,MACHINE_OBSERVATION,NA,CLO,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.409,-11.885,1982,MACHINE_OBSERVATION,NA,CLO,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.217,-10.133,1971,PRESERVED_SPECIMEN,NA,LSUMZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.216667,-10.133333,1968,PRESERVED_SPECIMEN,411,MVZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.216667,-10.133333,1968,PRESERVED_SPECIMEN,411,MVZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.217,-10.133,1968,PRESERVED_SPECIMEN,NA,LSUMZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.217,-10.133,1968,PRESERVED_SPECIMEN,NA,LSUMZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.217,-10.133,1968,PRESERVED_SPECIMEN,NA,LSUMZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.217,-10.133,1967,PRESERVED_SPECIMEN,NA,LSUMZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.217,-10.133,1967,PRESERVED_SPECIMEN,NA,LSUMZ,GBIF
"Saguinus imperator (Goeldi, 1907)",-71.217,-10.133,1966,PRESERVED_SPECIMEN,NA,LSUMZ,GBIF
