species,lon,lat,year,record,coordinate_uncertainty,institution,database
Sciurus niger,-91.35232,41.667934,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-92.918106,35.968643,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-94.03248,36.455704,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-93.40985,37.09999,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-103.45967,46.952206,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-122.13344,37.982674,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-98.62197,30.251247,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-97.26596,42.856743,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-97.007385,34.460617,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-96.83392,40.288,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-85.644295,37.611633,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-84.72245,36.08458,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-91.578674,45.980164,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-80.98376,37.569054,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-82.17836,35.75672,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-78.6762,38.281067,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-79.588356,39.81122,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-81.0042,38.206142,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-77.73805,39.470104,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-77.53075,38.821342,NA,observation,NA,https://bison.usgs.gov,Bison
"Sciurus niger Linnaeus, 1758",-96.742775,40.274445,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.61514,30.556316,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.231575,26.171661,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-121.766685,37.172424,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-121.06958,38.68036,2014,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.27322,34.11971,2014,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.680756,32.755882,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.004974,33.06643,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.1281,33.22302,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.03666,34.13387,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-105.01333,40.566048,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-104.87806,38.82757,2013,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.70493,34.1019,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.01402,34.100178,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.13956,32.75516,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.09488,30.05299,2012,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-122.25945,37.87235,2013,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-122.24851,37.865295,2013,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-122.25672,37.871212,2013,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.05678,34.14201,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.3677,34.023483,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.103775,33.12924,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.17697,30.157558,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.43837,29.483912,2016,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-83.85691,43.365337,2012,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-88.05302,42.025833,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-95.617546,29.763718,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-96.96006,33.06049,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-121.88938,37.332188,2015,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.73685,30.285057,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.19259,26.189941,2018,observation,NA,http://www.inaturalist.org,Bison
Sciurus niger,-105.69839,40.355568,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-96.54986,38.418655,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-91.3472,34.020782,NA,observation,NA,https://bison.usgs.gov,Bison
Sciurus niger,-90.51215,32.255672,NA,observation,NA,https://bison.usgs.gov,Bison
"Sciurus niger Linnaeus, 1758",-81.60753,41.503048,2018,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.39928,27.791437,2015,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.43753,34.144936,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.209366,34.129883,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.210846,34.12748,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-81.587585,41.318775,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.43592,34.023655,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.35188,32.70794,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-76.87344,34.789192,2011,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-94.727455,31.374023,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-83.2097,41.60751,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.180595,33.001404,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-97.05924,33.071335,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.4351,30.882368,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.373116,34.198402,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.224106,34.09802,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-118.17233,34.118492,2016,observation,NA,http://www.inaturalist.org,Bison
Sciurus niger,-79.73197,37.115284,NA,observation,NA,https://bison.usgs.gov,Bison
"Sciurus niger Linnaeus, 1758",-118.26261,34.11776,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.24812,31.633924,2017,observation,NA,http://www.inaturalist.org,Bison
"Sciurus niger Linnaeus, 1758",-98.255714,30.325243,2015,observation,NA,http://www.inaturalist.org,Bison
