species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Spermophilus dauricus Brandt, 1843",119.163216,47.120218,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.155758,47.10478,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.153761,47.10465,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",118.87939,47.38372,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.156298,47.101444,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.35955,46.98339,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.35999,46.98314,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.372527,47.001814,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.3597,46.9831,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.367364,47.003027,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.366062,47.003683,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.376633,47.008497,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.376397,47.008488,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
"Spermophilus dauricus Brandt, 1843",119.366457,47.003399,2016,PRESERVED_SPECIMEN,5,MSB,GBIF
BOLD:AAC0194,112.84,42.38,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,112.82,42.37,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,112.82,42.37,2012,MATERIAL_SAMPLE,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",112.82,42.37,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",112.82,42.37,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",112.84,42.38,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
BOLD:AAC0194,114.18,44.61,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.18,44.61,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.39,44.67,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.39,44.71,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.39,44.67,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.39,44.69,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.39,44.69,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.39,44.67,2012,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,114.39,44.69,2012,MATERIAL_SAMPLE,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.39,44.69,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.39,44.67,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.39,44.67,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.39,44.67,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.39,44.71,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.39,44.69,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.39,44.69,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.18,44.61,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",114.18,44.61,2012,PRESERVED_SPECIMEN,NA,NA,GBIF
BOLD:AAC0194,117.116,49.827,2007,MATERIAL_SAMPLE,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",117.12,49.83,2007,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",109.275726,34.385098,2001,HUMAN_OBSERVATION,250,naturgucker,GBIF
"Spermophilus dauricus Brandt, 1843",116.530481,50.39359,1972,PRESERVED_SPECIMEN,NA,KU,GBIF
"Spermophilus dauricus Brandt, 1843",116.51667,50.38333,1970,PRESERVED_SPECIMEN,12.5,UMMZ,GBIF
"Spermophilus dauricus Brandt, 1843",116.51667,50.38333,1970,PRESERVED_SPECIMEN,12.5,UMMZ,GBIF
"Spermophilus dauricus Brandt, 1843",116.35,50.33333,1968,PRESERVED_SPECIMEN,NA,KU,GBIF
"Spermophilus dauricus Brandt, 1843",117.74,48.96,1940,PRESERVED_SPECIMEN,4332,CAS,GBIF
"Spermophilus dauricus Brandt, 1843",124.0167,47.36667,1937,PRESERVED_SPECIMEN,14790,CAS,GBIF
"Spermophilus dauricus Brandt, 1843",124.0167,47.36667,1937,PRESERVED_SPECIMEN,14790,CAS,GBIF
"Spermophilus dauricus Brandt, 1843",124.0167,47.36667,1937,PRESERVED_SPECIMEN,14790,CAS,GBIF
"Spermophilus dauricus Brandt, 1843",117.74,48.96,1935,PRESERVED_SPECIMEN,4332,CAS,GBIF
"Spermophilus dauricus Brandt, 1843",117.74,48.96,1935,PRESERVED_SPECIMEN,4332,CAS,GBIF
"Spermophilus dauricus Brandt, 1843",126.65,45.75,1932,PRESERVED_SPECIMEN,19761,CAS,GBIF
"Spermophilus dauricus Brandt, 1843",124.0167,47.36667,1932,PRESERVED_SPECIMEN,14790,CAS,GBIF
BOLD:AAC0194,115.4,50.117,NA,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,105.34,49.15,NA,MATERIAL_SAMPLE,NA,NA,GBIF
BOLD:AAC0194,105.34,49.15,NA,MATERIAL_SAMPLE,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",115.4,50.12,NA,PRESERVED_SPECIMEN,NA,NA,GBIF
"Spermophilus dauricus Brandt, 1843",105.34,49.15,NA,PRESERVED_SPECIMEN,NA,NA,GBIF
