species,lon,lat,year,record,coordinate_uncertainty,institution,database
Tamiasciurus hudsonicus,-141.62,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.61,62.63,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-151.91,63.08,2006,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-143.44167,64.95393,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.96,62.63,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.87,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.87,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.86,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.85,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.84,62.66,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.84,62.66,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.83,62.6,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.7,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.66,62.64,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-141.62,62.63,2008,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-135.83873,58.447323,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-135.31479,57.04675,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-156.93,64.73,1987,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-156.64,58.67,1995,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-154.6252,60.180508,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-72.53502,43.63345,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-116.27802,45.794277,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-86.01522,45.111607,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-87.03243,41.661446,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-86.46695,46.513527,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-151.71,63.11,2006,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-151.67,63.11,2006,observation,NA,https://bison.usgs.gov,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-136.46,58.1,1996,specimen,NA,http://www.uaf.edu/museum/,Bison
Tamiasciurus hudsonicus,-73.61395,43.00186,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-79.92504,39.775433,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-83.52819,35.57156,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-91.578674,45.980164,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-80.98376,37.569054,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-75.771416,40.204124,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-78.776955,40.344944,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-78.55634,40.4598,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-81.0042,38.206142,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-80.922844,37.76697,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-77.73805,39.470104,NA,observation,NA,https://bison.usgs.gov,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-78.46766,45.548195,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-117.11921,45.288097,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-75.79665,45.369877,2018,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-77.34109,44.278824,2015,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-114.15049,46.53795,2018,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-93.48397,45.058395,2018,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-79.565346,44.148056,2018,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-91.19614,47.381718,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-84.75094,47.04767,2016,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-135.33,57.053055,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-91.195145,47.382984,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-91.20087,47.387257,2016,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-76.64611,41.7928,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-72.50319,43.620995,2018,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-93.19617,44.9,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-71.67142,41.91522,2017,observation,NA,http://www.inaturalist.org,Bison
Tamiasciurus hudsonicus,-107.167915,38.46276,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-89.71761,47.991226,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-110.762474,41.856342,NA,observation,NA,https://bison.usgs.gov,Bison
Tamiasciurus hudsonicus,-110.49008,44.5813,NA,observation,NA,https://bison.usgs.gov,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-63.44483,44.658157,2018,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-78.37344,45.587418,2011,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-149.47311,61.575523,2011,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-123.42891,48.852734,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-76.33771,45.437428,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-135.31483,57.04565,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-111.613045,40.57266,2015,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-71.45431,42.37688,2018,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-69.99569,41.8823,2015,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-130.01,55.91,1990,specimen,NA,http://www.uaf.edu/museum/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-151.73,59.06,1991,specimen,NA,http://www.uaf.edu/museum/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-147.86,50.91,1991,specimen,NA,http://www.uaf.edu/museum/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-100.05565,48.999218,2016,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-125.89729,49.119884,2015,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-74.26241,44.448708,2013,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-73.0672,44.24338,2013,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-83.18634,35.513844,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-77.13991,41.78834,2013,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-70.220665,41.68312,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-72.68239,45.413918,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-68.06155,44.336765,2017,observation,NA,http://www.inaturalist.org,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-133.37,59.64,1980,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-146.34,65.3,1990,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-68.26,44.38,1994,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-132.56,56.41,2002,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-81.53,41.24,1994,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-127.17,50.51,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-136.29,57.75,1996,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-106,40.45,1994,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-110.27,43.83,1995,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-118.43,48.34,2003,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-127.54,50.1,1955,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-147.87,64.87,1996,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-117.11,48.5,2003,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-125.32,52.5,1948,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-117.11,48.5,2003,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-125.32,52.5,1948,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-84.71,45.86,1984,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-129.44,61.45,1969,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-111.06,45.56,1971,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-137.68,58.71,1973,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-137.58,58.64,1973,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-118.54,44.8,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-136.89,58.37,1973,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus hudsonicus (Erxleben, 1777)",-109.58,34.12,1990,unknown,NA,http://www.ebi.ac.uk/,Bison
