species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Trichosurus caninus (Ogilby, 1835)",149.95534,-35.527342,2019,HUMAN_OBSERVATION,10,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",151.57128,-26.864236,2019,HUMAN_OBSERVATION,65,NA,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.95093,-26.61838,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.479064,-31.207827,2019,HUMAN_OBSERVATION,100,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.315705,-28.39196,2019,HUMAN_OBSERVATION,NA,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.288819,-27.516686,2019,HUMAN_OBSERVATION,10,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",153,-26.6,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Trichosurus caninus (Ogilby, 1835)",148.842044,-35.359656,2019,HUMAN_OBSERVATION,NA,NA,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.100507,-28.934114,2019,HUMAN_OBSERVATION,100,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.330566,-29.970789,2019,HUMAN_OBSERVATION,10,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",150.1237,-30.827628,2019,HUMAN_OBSERVATION,100,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.611486,-30.346381,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.824985,-29.877358,2019,HUMAN_OBSERVATION,488,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.862329,-30.1995,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.919953,-26.823995,2019,HUMAN_OBSERVATION,223,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.606341,-30.351813,2019,HUMAN_OBSERVATION,244,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.072794,-30.90401,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.614189,-30.345774,2019,HUMAN_OBSERVATION,31,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.403549,-28.258481,2019,HUMAN_OBSERVATION,199,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.428052,-30.136772,2019,HUMAN_OBSERVATION,61,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.432101,-30.136442,2019,HUMAN_OBSERVATION,31,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.391013,-28.264949,2019,HUMAN_OBSERVATION,199,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.135982,-28.230817,2018,HUMAN_OBSERVATION,205,iNaturalist,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.323273,-28.389332,2018,HUMAN_OBSERVATION,6,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.423311,-28.225193,2018,HUMAN_OBSERVATION,100,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.323273,-28.389336,2018,HUMAN_OBSERVATION,6,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.290497,-28.396881,2018,HUMAN_OBSERVATION,32,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",150.926436,-34.304277,2018,HUMAN_OBSERVATION,3,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",153.044077,-29.074902,2018,HUMAN_OBSERVATION,10,NSW Office of Environment and Heritage,GBIF
"Trichosurus caninus (Ogilby, 1835)",152.919695,-26.823651,2018,HUMAN_OBSERVATION,197,iNaturalist,GBIF
