species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Urocitellus armatus (Kennicott, 1863)",-110.730484,43.786263,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.69031,44.001575,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.68901,40.574425,2014,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.50694,43.84167,1949,specimen,NA,http://www.uwyo.edu/biodiversity/vertebrate-museum/,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.58798,40.603577,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.637985,40.59077,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.61586,40.57485,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.642,40.645504,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.61903,40.57713,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.52819,43.798523,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.448616,44.806877,2012,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.82521,44.381878,2012,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.58858,40.588066,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.70037,44.97587,2010,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.41929,44.918335,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.66423,43.666126,2013,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus armatus Kennicott, 1863",-111.00195,42.920673,1938,specimen,NA,http://www.calacademy.org,Bison
"Spermophilus armatus Kennicott, 1863",-110.96304,41.268196,1938,specimen,NA,http://www.calacademy.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.16073,39.72413,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.66953,43.613613,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.59619000000001,40.599617,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.4125,40.5069,1943,specimen,NA,http://www.peabody.yale.edu,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.1667,39.8333,1943,specimen,NA,http://www.peabody.yale.edu,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.8333,41.75,1940,specimen,NA,http://www.peabody.yale.edu,Bison
Spermophilus armatus,-110.49008,44.5813,NA,observation,NA,https://bison.usgs.gov,Bison
Spermophilus armatus,-113.71318,42.06973,NA,observation,NA,https://bison.usgs.gov,Bison
Spermophilus armatus,-110.68648,43.825954,NA,observation,NA,https://bison.usgs.gov,Bison
Spermophilus armatus,-110.762474,41.856342,NA,observation,NA,https://bison.usgs.gov,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.527374,40.67744,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.58693,40.604633,2011,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.58968,41.70662,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.59049,40.604332,2012,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus armatus Kennicott, 1863",-110.67984,42.228786,1959,specimen,NA,http://www.sbnature.org/,Bison
"Spermophilus armatus Kennicott, 1863",-110.76223,43.47984,1928,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-110.76223,43.47984,1928,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.43924,44.915977,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.611755,40.574463,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.68176,43.79043,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.68917,43.68444,1979,specimen,NA,http://www.uwyo.edu/biodiversity/vertebrate-museum/,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.61405,40.582577,2017,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus armatus Kennicott, 1863",-111.63498,39.508568,1939,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-111.63498,39.508568,1939,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-111.63498,39.508568,1939,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-111.69972,40.57237,1939,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-111.159966,39.518112,1982,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-111.159966,39.518112,1982,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-110.69278,43.63512,1988,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Spermophilus armatus Kennicott, 1863",-110.69278,43.63512,1988,specimen,NA,http://www.ummz.umich.edu/index.html,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.588455,44.427967,2005,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.13623,39.93442,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.040146,39.928562,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.02124,39.928555,NA,specimen,NA,http://www.snomnh.ou.edu/,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.50289,44.695625,2007,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus armatus Kennicott, 1863",-109.8667,45.0167,1990,observation,NA,NA,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.586624,40.60341,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.6857,40.568905,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.58853,40.605267,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.69209,40.54294,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.66444,43.66597,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.25879,44.746735,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-109.99512,44.80912,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.44968,44.950447,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.69982,44.97462,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.68176,43.79043,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.90629,44.478886,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1981,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.67984,42.228786,1981,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1978,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1982,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1983,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1982,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1978,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1979,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.60553,43.0553,1989,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1978,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.60553,43.0553,1989,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1981,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1980,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1980,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1981,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1983,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-108.87568,41.66034,1983,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-112.39921,43.21636,1932,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-112.22899,42.69294,1911,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-112.844406,42.694126,1935,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-113.6055,42.288635,1935,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.62188,43.395172,1949,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.327446,42.28583,1937,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-113.6055,42.288635,1983,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.544174,42.786274,1930,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.82295,42.173588,1937,unknown,NA,http://www.natureserve.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.07722,39.9576,1982,specimen,NA,http://www.angelo.edu/dept/biology/asnhc/,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.60107000000001,40.46448,1992,specimen,NA,http://www.angelo.edu/dept/biology/asnhc/,Bison
"Spermophilus armatus Kennicott, 1863",-110.76167,43.48,1932,unknown,NA,http://digir.unibio.unam.mx,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.64462,40.656696,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.694824,44.978508,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.558,43.778458,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.69221,40.543636,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.588356,40.58937,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.590004,40.60268,2014,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-112.417725,42.723286,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.735146,44.884216,2014,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-111.64462,40.656696,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.68176,43.79043,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus armatus (Kennicott, 1863)",-110.38378,44.9111,2015,observation,NA,http://www.inaturalist.org,Bison
