species,lon,lat,year,record,coordinate_uncertainty,institution,database
Spermophilus columbianus,-121.3476,48.832775,NA,observation,NA,https://bison.usgs.gov,Bison
"Urocitellus columbianus (Ord, 1815)",-113.73683,48.687923,2016,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus columbianus (Ord, 1815)",-112.9905,48.70567,1936,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus columbianus (Ord, 1815)",-117.69193,44.703426,1906,specimen,NA,http://www.sdnhm.org,Bison
"Spermophilus columbianus (Ord, 1815)",-120.54804,51.43282,1965,specimen,NA,NA,Bison
"Urocitellus columbianus (Ord, 1815)",-119.2962,49.509815,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-120.78702,49.063625,2017,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus columbianus (Ord, 1815)",-119.35,50.233334,1937,specimen,NA,http://www.rom.on.ca,Bison
"Urocitellus columbianus (Ord, 1815)",-119.96024,47.071735,2014,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.90337,49.05887,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-116.451744,44.421036,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.86932,49.132275,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.74961,48.688652,2009,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.71817,48.69664,2001,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-117.12861,45.281113,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-116.206276,51.18751,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.9935,48.52838,2010,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.98448,48.52662,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.787025,48.759613,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.64052,47.43769,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-113.6685,48.79202,2016,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus columbianus (Ord, 1815)",-117.17939,46.73117,1894,specimen,NA,http://www.calacademy.org,Bison
"Urocitellus columbianus (Ord, 1815)",-116.48311,51.49764,2009,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-116.14269,51.40779,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocitellus columbianus (Ord, 1815)",-115.57077,51.178364,2008,observation,NA,http://www.inaturalist.org,Bison
"Spermophilus columbianus (Ord, 1815)",-119.28005,50.700386,1929,specimen,NA,http://www.ubc.ca/%20,Bison
"Spermophilus columbianus (Ord, 1815)",-115.69028,51.133057,1924,specimen,NA,http://www.ubc.ca/%20,Bison
"Spermophilus columbianus (Ord, 1815)",-115.69028,51.133057,1924,specimen,NA,http://www.ubc.ca/%20,Bison
"Spermophilus columbianus (Ord, 1815)",-115.69028,51.133057,1924,specimen,NA,http://www.ubc.ca/%20,Bison
