species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Urocyon littoralis (Baird, 1858)",-118.53093,33.59137,2013,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.4959,34.195427,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.57794,34.02535,2012,observation,NA,http://www.enjoynature.net,Bison
"Urocyon littoralis (Baird, 1858)",-120.19815,33.82276,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.71234,34.122395,2014,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.78125,33.862015,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.68556,34.129524,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.554375,34.15591,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-120.02637,34.089355,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.514275,34.186386,2014,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.60142,34.18249,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.70609,34.11353,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.68262,34.190407,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.731224,34.164913,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.407555,34.120743,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.69794,33.81621,2011,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.44816,34.092476,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.4638,34.11361,2018,observation,NA,http://www.inaturalist.org,Bison
Urocyon littoralis,-119.74167,34.01577,NA,observation,NA,https://bison.usgs.gov,Bison
"Urocyon littoralis (Baird, 1858)",-119.402145,34.005836,2014,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.544174,34.0144,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.73252,34.09486,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.59396,34.07605,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-120.14843,34.069675,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.41746,34.035316,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://www.sbnature.org/,Bison
"Urocyon littoralis (Baird, 1858)",-118.26186,34.1964,1982,specimen,NA,http://www.humboldt.edu,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://www.mcz.harvard.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.36416,34.033207,1971,specimen,NA,http://nhmuseum.ups.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.37208,34.037373,1974,specimen,NA,http://nhmuseum.ups.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.37208,34.037373,1975,specimen,NA,http://nhmuseum.ups.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-118.54449,33.46496,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-121.91329,37.648136,1964,specimen,NA,http://www.ubc.ca/%20,Bison
"Urocyon littoralis (Baird, 1858)",-119.64113,34.061913,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.58809,34.126747,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.64092,34.049072,2017,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1964,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1964,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1964,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1964,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1964,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1967,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-119.13314,34.35874,1977,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1977,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-119.13314,34.35874,1977,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-119.13314,34.35874,1977,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-119.13314,34.35874,1978,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1968,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1976,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1966,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1971,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,NA,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1968,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-120.03792,34.537247,1984,specimen,NA,http://ccber.ucsb.edu/,Bison
"Urocyon littoralis (Baird, 1858)",-119.77117,33.93978,2018,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.88979,34.040108,2016,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.61339,33.95745,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis (Baird, 1858)",-119.61774,34.072395,2015,observation,NA,http://www.inaturalist.org,Bison
"Urocyon littoralis clementae Merriam, 1903",-118.553596,32.927938,2020,HUMAN_OBSERVATION,29039,iNaturalist,GBIF
"Urocyon littoralis clementae Merriam, 1903",-118.549589,32.879389,2020,HUMAN_OBSERVATION,29039,iNaturalist,GBIF
