species,lon,lat,year,record,coordinate_uncertainty,institution,database
Ursus americanus,-82.451065,35.268154,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus<U+00A0>,-77.95396,39.0231,2015,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-92.918106,35.968643,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-136.87,58.45,1993,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-136.16,59.05,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-157.15,57.9,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-157.15,57.9,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-157.14,57.9,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-156.93,64.73,1987,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-113.44162,43.282867,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-111.04776,31.57283,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-108.59056,40.46058,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-108.27329,33.227608,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-72.37221,43.5003,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-119.54041,37.839916,NA,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.63,59.52,1991,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.52,59.52,2008,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.33,59.52,1997,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.33,59.52,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.32,59.63,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.32,59.63,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.32,59.63,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.17,59.58,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.17,59.58,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.16,59.61,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-150.03,59.83,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.83,60.2,1991,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.78,59.79,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.78,59.79,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.78,59.8,2008,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.77,59.75,1996,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.77,59.84,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.75,59.9,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.74,59.88,1998,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.74,59.93,1996,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.72,59.88,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.72,59.88,1996,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.66,59.84,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.66,59.84,1998,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.66,59.84,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.66,59.84,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.66,59.84,1992,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.66,59.93,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.64,59.84,1996,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.64,59.84,1991,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.64,59.84,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.64,59.84,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.64,59.84,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus americanus,-149.64,59.84,1991,observation,NA,https://bison.usgs.gov,Bison
