species,lon,lat,year,record,coordinate_uncertainty,institution,database
Ursus arctos,-152.13,62.95,2006,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-151.95,63.08,2006,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-151.93,63.08,2006,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-151.91,63.08,2006,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-145.18,60.31,2003,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-145.05,62.06,2007,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-144.57,62.5,2007,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-136.7,58.57,1994,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-135.12,58.05,2005,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-156.93,64.73,1987,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-156.64,58.67,1995,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-154.46,58.07,2009,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-150.63,59.52,1997,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-150.39,59.59,1998,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-149.67,60.18,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-149.64,60.25,1991,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-149.63,60.18,1999,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-149.61,60.18,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-149.61,60.2,1990,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-149.6,60.2,1991,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-164.14,66.41,2007,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-164.13,66.02,2007,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-164.13,66.02,2007,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-164.07,66.23,2007,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-154.56,58.11,2008,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-151.74,63.1,2006,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-151.72,63.11,2006,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-151.72,63.11,2006,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-154.55,58.04,2009,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-154,58.45,2009,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-154,58.45,2009,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-153.29,58.83,2009,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-153.15,59.85,2009,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-153.03,59.88,2009,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-136.15,59,1994,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-136.13,58.97,1994,observation,NA,https://bison.usgs.gov,Bison
Ursus arctos,-136.1,58.95,1994,observation,NA,https://bison.usgs.gov,Bison
"Ursus arctos Linnaeus, 1758",-150.24353,67.221405,2017,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-150.73732,63.44362,2016,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-135.13527,56.991547,2017,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-135.72922,57.255913,2017,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-115.05805,50.821735,2007,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-165.59958,66.897644,1971,specimen,NA,http://museum.msu.edu,Bison
"Ursus arctos Linnaeus, 1758",-139,59,1972,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-159,57,1972,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-147,60,1963,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-159,57,1961,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-159,57,1971,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1969,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1968,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-153,57,1966,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-152,58,1964,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1971,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1965,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1965,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-153,57,1967,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1969,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-152,58,1964,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-152,58,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-153,57,1976,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1971,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-152,58,1972,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1969,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1969,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1969,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1970,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1965,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1969,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1966,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1969,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1966,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1964,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1966,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1966,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1966,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1966,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1967,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1956,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1965,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,1956,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-152,58,1965,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-154,58,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-153,57,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-141,63,1974,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus arctos Linnaeus, 1758",-125.52888,50.969482,2005,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-135.31665,57.04852,2017,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-135.28093,56.995583,2017,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-131.88812,56.169353,2007,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-113.29006,37.88273,1880,unknown,NA,http://www.natureserve.org,Bison
"Ursus arctos Linnaeus, 1758",-150.01671,60.487522,2012,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-150.01703,60.48751,2012,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-135.12419,57.081238,2008,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-134.89964,57.0731,2017,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-150.80933,63.363953,2010,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-155.79166,58.55482,2012,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-148.89713,63.97961,2008,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-135.78235,57.308956,2017,observation,NA,http://www.inaturalist.org,Bison
"Ursus arctos Linnaeus, 1758",-135.21655,57.00172,2002,observation,NA,http://www.inaturalist.org,Bison
