species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Ursus maritimus Phipps, 1774",-168.11751,66.89875,1959,specimen,NA,http://www.nhm.org/,Bison
"Ursus maritimus Phipps, 1774",-156.59247,71.963135,1962,specimen,NA,http://www.nhm.org/,Bison
Ursus maritimus maritimus,-167.91058,69.49252,1958,specimen,NA,http://museum.msu.edu,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1970,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1970,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1967,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1970,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1968,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1970,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1967,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1968,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-144.45,70.65,1985,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-146.18,70.7,1985,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1965,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,NA,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-147.13,70.46,1983,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-145.33,70.5,1985,specimen,NA,http://www.uaf.edu/museum/,Bison
"Ursus maritimus Phipps, 1774",-160.00343,70.89953,1971,specimen,NA,http://www.uaf.edu/museum/,Bison
