species,lon,lat,year,record,coordinate_uncertainty,institution,database
Vulpes vulpes,-82.451065,35.268154,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.62,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.69,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-122.87971,38.055004,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-122.66314,45.623608,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-91.19602,37.147163,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-92.930115,44.772236,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-93.40985,37.09999,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-96.54986,38.418655,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-144.35,62.06,1995,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-144.35,62.06,1995,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-143.58,61.51,1997,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-143.58,61.51,1997,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-142.58,61.11,2001,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-142.58,61.11,2001,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.63,62.66,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.63,62.66,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.94,62.64,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.85,61.11,1982,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.85,61.11,1982,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.81,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.67,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.66,62.65,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.63,62.67,2008,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.25,59.98,1983,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-141.25,59.98,1983,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-135.85,58.95,1995,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-123.00483,48.462036,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-156.93,64.73,1987,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-113.71318,42.06973,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-112.4949,41.63074,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-109.59546,38.707844,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-108.692535,39.050396,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-103.77072,42.419647,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-72.53502,43.63345,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-98.62197,30.251247,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-118.7214,47.908993,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-84.57892,33.977290000000004,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-86.46695,46.513527,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-86.433334,35.873104,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-73.70434,42.36927,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-73.4962,40.88559,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-70.005264,41.959053,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-71.29599,42.45341,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-135.93,58.55,1993,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-91.578674,45.980164,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-81.471405,30.43109,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-74.86871,41.440952,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-77.251396,37.41786,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-77.09684,38.92321,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-77.04568,38.96263,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-77.0366,38.8962,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-75.5312,35.242413,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-76.968056,38.846943,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-78.80274,37.382645,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-78.776955,40.344944,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-78.6762,38.281067,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-78.55634,40.4598,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-81.0042,38.206142,NA,observation,NA,https://bison.usgs.gov,Bison
Vulpes vulpes,-77.46407,39.65043,NA,observation,NA,https://bison.usgs.gov,Bison
"Vulpes vulpes (Linnaeus, 1758)",-73.1846,44.48355,2017,observation,NA,http://www.inaturalist.org,Bison
"Vulpes vulpes (Linnaeus, 1758)",-76.02052,44.491993,2018,observation,NA,http://www.inaturalist.org,Bison
"Vulpes vulpes (Linnaeus, 1758)",-76.882324,39.283295,2012,observation,NA,http://www.inaturalist.org,Bison
"Vulpes vulpes (Linnaeus, 1758)",-73.55473,45.556465,2010,observation,NA,http://www.inaturalist.org,Bison
"Vulpes vulpes (Linnaeus, 1758)",-99.971115,50.627544,2017,observation,NA,http://www.inaturalist.org,Bison
