species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Zalophus californianus (Lesson, 1828)",-122.420296,37.810017,2009,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-124.06577,44.6163,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.16109,32.715736,2015,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.23593,32.69429,2013,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-122.01756,36.95753,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.27759,32.84736,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-119.55647,34.049046,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-135.345,57.050285,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-122.4987,37.503082,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.27704,32.847923,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.27704,32.847923,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.27704,32.847923,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.27704,32.847923,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-123.965935,49.235016,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.23537,32.694252,2013,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.23874,32.762066,2015,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-119.43543,34.14539,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-118.21335,33.575287,2015,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-118.12913,33.58244,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-123.53165,48.29909,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-119.363464,34.197178,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-123.97076,39.218487,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-123.53179,48.299103,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-122.67471,37.522797,2015,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-118.14088,33.595676,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-123.53093,48.29932,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-125.51238,48.914116,2017,observation,NA,http://www.enjoynature.net,Bison
"Zalophus californianus (Lesson, 1828)",-122.08305,36.887054,2016,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-119.70915,34.325684,2010,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-118.236465,33.555008,2016,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-122.049355,36.949173,2013,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-120.85561,35.365875,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-120.8556,35.365936,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-122.41181,37.810516,2013,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-121.78569,36.809486,2012,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-117.27142,32.8506,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-121.94356,36.96517,2013,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-118.48736,33.451878,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-119.27943,34.24473,2017,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-122.01745,36.957554,2011,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-121.890884,36.608593,2018,observation,NA,http://www.inaturalist.org,Bison
"Zalophus californianus (Lesson, 1828)",-118.8069,34.001675,2017,observation,NA,http://www.inaturalist.org,Bison
