Longitude,Latitude,species
38.1639,-0.1173,Acinonyx jubatus
35.142994,-1.493003,Acinonyx jubatus
37.9554,-0.2295,Acinonyx jubatus
35.023487,-2.486436,Acinonyx jubatus
24.071732,-18.573036,Acinonyx jubatus
38.0231,-0.0588,Acinonyx jubatus
26.280069,-24.7609,Acinonyx jubatus
16.195797,-20.118109,Acinonyx jubatus
16.059458,-20.121231,Acinonyx jubatus
36.938953,0.009699,Acinonyx jubatus
23.836212,-21.505342,Acinonyx jubatus
16.062012,-23.860094,Acinonyx jubatus
16.986027,-24.84236,Acinonyx jubatus
34.997585,-2.831946,Acinonyx jubatus
25.820225,-17.859175,Acinonyx jubatus
34.747009,-2.619326,Acinonyx jubatus
17.088352,-18.754915,Acinonyx jubatus
36.044769,-4.077973,Acinonyx jubatus
1.61218,11.38677,Acinonyx jubatus
34.970083,-2.259251,Acinonyx jubatus
35.155295,-1.795617,Acinonyx jubatus
35.022861,-2.034361,Acinonyx jubatus
38.189163,0.105743,Acinonyx jubatus
17.654429,-24.584669,Acinonyx jubatus
1.24064,11.25955,Acinonyx jubatus
1.90322,11.37813,Acinonyx jubatus
1.51295,11.19685,Acinonyx jubatus
3.089473,9.873993,Acinonyx jubatus
34.685651,-2.416213,Acinonyx jubatus
35.139883,-1.140388,Acinonyx jubatus
1.73741,11.4087,Acinonyx jubatus
1.50079,11.09758,Acinonyx jubatus
1.4781,11.452,Acinonyx jubatus
1.4491560000000001,11.360181,Acinonyx jubatus
1.2017,10.9974,Acinonyx jubatus
2.1311,11.380233,Acinonyx jubatus
38.749466,-3.357147,Acinonyx jubatus
34.903031,-2.655014,Acinonyx jubatus
35.22543,-1.616836,Acinonyx jubatus
30.537872,-24.155525,Acinonyx jubatus
16.900808,-22.269505,Acinonyx jubatus
35.04776,-2.934812,Acinonyx jubatus
35.748138,-3.565506,Acinonyx jubatus
34.796734,-2.262478,Acinonyx jubatus
27.20012,-25.25143,Acinonyx jubatus
27.08572,-25.30063,Acinonyx jubatus
26.96118,-25.27003,Acinonyx jubatus
27.04943,-25.20598,Acinonyx jubatus
34.996861,-3.020098,Acinonyx jubatus
35.120803,-1.379408,Acinonyx jubatus
37.215199,-2.607794,Acinonyx jubatus
37.305281,-2.665969,Acinonyx jubatus
1.537766,11.328641,Acinonyx jubatus
35.027161,-1.227628,Acinonyx jubatus
34.906483,-1.399759,Acinonyx jubatus
37.608948,0.57128,Acinonyx jubatus
34.820568,-2.436428,Acinonyx jubatus
34.874725,-7.708951,Acinonyx jubatus
35.022362,-1.582283,Acinonyx jubatus
16.556911,-18.988741,Acinonyx jubatus
35.561028,-3.17274,Acinonyx jubatus
38.609734,-3.342064,Acinonyx jubatus
38.831177,-2.977327,Acinonyx jubatus
34.436989,-2.243899,Acinonyx jubatus
34.208679,-2.181632,Acinonyx jubatus
1.374999,10.306667,Acinonyx jubatus
36.074047,-3.840019,Acinonyx jubatus
27.40916,-24.2707,Acinonyx jubatus
26.8666,-24.34734,Acinonyx jubatus
3.191864,12.076329,Acinonyx jubatus
27.18134,-24.54072,Acinonyx jubatus
1.603764,11.243179,Acinonyx jubatus
27.15693,-24.64284,Acinonyx jubatus
27.06651,-24.69829,Acinonyx jubatus
26.83797,-24.50019,Acinonyx jubatus
26.87876,-24.58647,Acinonyx jubatus
27.02632,-24.5789,Acinonyx jubatus
26.65356,-24.87344,Acinonyx jubatus
26.77864,-25.0802,Acinonyx jubatus
26.75214,-24.85727,Acinonyx jubatus
26.71066,-24.9728,Acinonyx jubatus
26.70336,-24.54815,Acinonyx jubatus
26.54258,-24.64289,Acinonyx jubatus
26.87706,-25.06257,Acinonyx jubatus
27.12393,-24.99786,Acinonyx jubatus
27.22671,-24.85101,Acinonyx jubatus
27.12309,-24.83309,Acinonyx jubatus
26.60001,-24.53877,Acinonyx jubatus
27.17207,-24.73986,Acinonyx jubatus
27.35912,-23.89151,Acinonyx jubatus
27.49547,-23.83381,Acinonyx jubatus
27.41034,-23.74184,Acinonyx jubatus
27.33957,-23.64821,Acinonyx jubatus
27.28447,-24.77291,Acinonyx jubatus
27.3206,-23.8008,Acinonyx jubatus
27.25552,-23.59464,Acinonyx jubatus
27.24184,-23.86502,Acinonyx jubatus
27.10697,-24.00122,Acinonyx jubatus
26.74066,-24.41427,Acinonyx jubatus
27.38416,-24.07587,Acinonyx jubatus
27.24093,-24.00186,Acinonyx jubatus
27.46054,-24.16352,Acinonyx jubatus
27.33315,-24.17414,Acinonyx jubatus
26.61678,-24.40878,Acinonyx jubatus
27.46825,-23.6088,Acinonyx jubatus
27.59871,-23.49875,Acinonyx jubatus
40.0334,-1.3993,Acinonyx jubatus
31.26482,-24.36363,Acinonyx jubatus
27.27448,-24.60986,Acinonyx jubatus
26.81341,-24.96187,Acinonyx jubatus
26.98151,-24.87239,Acinonyx jubatus
27.39291,-24.6766,Acinonyx jubatus
27.54555,-24.79141,Acinonyx jubatus
1.766667,8.4,Acinonyx jubatus
27.70622,-25.00664,Acinonyx jubatus
27.63033,-24.91816,Acinonyx jubatus
27.80721,-24.99055,Acinonyx jubatus
1.72,8.261,Acinonyx jubatus
26.96339,-24.73071,Acinonyx jubatus
31.420898,-24.046465,Acinonyx jubatus
31.617205,-25.162979,Acinonyx jubatus
39.92569,-3.502455,Acinonyx jubatus
14.843205,-19.620388,Acinonyx jubatus
38.866,-1.367,Acinonyx jubatus
36.121981,-0.355773,Acinonyx jubatus
15.238501,-19.670166,Acinonyx jubatus
20.590696,-25.412113,Acinonyx jubatus
35.120544,-2.698891,Acinonyx jubatus
36.112226,-0.454957,Acinonyx jubatus
35.164318,-2.000822,Acinonyx jubatus
23.039703,-19.485205,Acinonyx jubatus
38.6151,-0.1683,Acinonyx jubatus
29.953831,30.049999,Acinonyx jubatus
36.349998,-1.15,Acinonyx jubatus
60.739719,27.377501,Acinonyx jubatus
